JUDGE,AG_RTD_TEMP_GLASS_OUT,BUS_DEVELOP_TEMP_TANK2,DIELEC_FIRE_EXHAUST_HEAT2,PHOS_R_DRY_TEMP_WALL_MAX,PHOS_R_DRY_TEMP_HOOD_START,PHOS_FIRE_EXHAUST_HEAT3,BUS_DEVELOP_TEMP_TANK1,AG_EXPOSURE_TEMP_MASK,PHOS_FIRE_EXHAUST_HEAT2,TAT_6PHOS_4FIRE,TAT_3BUS_2FIRE,TAT_4DIELEC_FIRE,TAT_8AGING,TAT_1BLACK_1PRINT,TAT_1BLACK_2RTD,TAT_2AG_2RTD,TAT_6PHOS_1R_1DISPENSER
양품,41.2,31.788,2166,166.6,91.8,4391,23.3,23.338,3955.0,8970,7167,6540,10074,88,210,69,78
양품,41.9,30.8,2161,167.0,98.0,4457,23.5,23.239,3986.0,6985,6837,6480,10075,100,230,69,78
양품,39.5,31.08,2155,169.1,129.0,4448,23.403000000000002,23.648000000000003,3984.0,6780,6987,6540,9750,98,210,74,78
양품,37.8,31.111,2182,168.5,117.0,4453,23.401,23.63,4083.0,6840,6993,6513,10074,98,210,69,80
양품,44.7,30.699,2166,166.9,135.0,4456,23.416999999999998,23.668000000000003,4097.0,7140,6987,6453,9750,86,210,72,78
양품,46.3,31.4,2139,166.9,98.0,4426,23.49,23.409000000000002,3961.0,7225,6840,6453,10074,86,210,69,80
양품,37.6,30.914,2210,168.1,118.0,4418,23.405,23.385,3966.0,6845,6987,6507,10076,100,220,69,78
양품,45.3,30.8,2191,164.6,121.0,4479,23.406,23.362,4023.0,7015,6687,6567,10076,86,220,77,78
양품,43.7,31.111,2147,164.7,100.0,4476,23.383000000000003,23.462,4094.0,6874,7467,6600,9750,86,220,69,80
양품,46.3,31.4,2282,165.6,105.0,4452,23.5,23.794,4083.0,7016,7017,6480,9750,86,250,63,78
양품,45.3,30.388,2160,166.8,100.0,4465,23.416999999999998,23.5,4074.0,7260,6867,6453,9750,88,230,69,78
양품,44.7,31.02,2194,167.9,134.0,4483,23.451999999999998,23.616,4003.0,7110,7020,6513,10074,86,220,74,80
명점,46.8,31.018,2187,161.2,148.0,4426,23.4,23.471,4181.0,6870,6687,6627,10640,86,210,69,86
양품,41.8,30.945999999999998,2142,168.5,95.0,4441,23.134,23.393,3955.0,6840,6720,6627,10075,78,230,69,78
양품,42.7,30.660999999999998,2189,166.9,96.0,4717,23.487,23.656,4000.0,7115,6807,6480,10076,88,220,69,80
양품,39.7,30.916,2201,167.1,139.0,4467,23.4,23.646,4122.0,8970,7407,6540,10075,88,220,69,78
양품,42.2,30.878,2126,168.2,93.0,4449,23.404,23.611,4065.0,6836,7107,6513,9750,98,220,72,80
양품,42.7,30.961,2159,166.5,139.0,4487,23.362,23.636,3994.0,7140,7380,6420,9750,88,220,72,78
양품,45.2,30.0,2168,167.8,147.0,4439,22.811,22.784000000000002,4061.0,7016,6840,6480,10076,98,210,69,78
양품,48.0,30.8,2169,164.4,137.0,4480,23.476999999999997,23.625999999999998,3997.0,6960,6807,6507,10075,88,210,69,80
양품,45.2,30.8,2133,163.9,118.0,4468,23.409000000000002,23.6,4103.0,6960,6687,6600,9750,85,220,69,80
양품,46.6,31.4,2211,166.3,124.0,4451,23.5,23.465,3982.0,7170,6873,6420,10074,88,250,69,78
양품,45.5,31.1,2155,163.8,90.6,4483,23.378,23.354,4105.0,6750,7620,6600,9750,88,220,69,80
양품,40.3,31.044,2212,167.2,126.0,4437,23.4,23.647,4004.0,8945,7380,6513,10073,86,220,69,78
양품,47.1,31.3,2160,167.6,129.0,4450,23.5,23.413,4109.0,7084,6900,6420,10076,88,260,69,78
양품,47.3,30.0,2168,166.9,109.0,4457,22.808000000000003,23.28,4042.0,6934,6720,6480,10544,98,220,63,78
양품,45.7,31.17,2162,167.2,108.0,4437,23.4,23.451,4004.0,8945,7440,6507,10074,86,220,72,78
양품,39.7,30.8,2168,168.3,155.9,4454,23.5,23.348000000000003,4011.0,7140,6873,6453,9750,86,210,69,80
양품,42.9,31.0,2149,166.8,100.0,4621,23.1,23.412,4056.0,6840,6780,6600,9751,78,230,69,88
양품,45.2,31.4,2177,164.4,90.0,4443,23.503,23.425,4298.0,7020,7020,6447,10074,88,220,69,80
양품,47.1,31.343000000000004,2163,167.6,156.0,4450,23.5,23.766,4109.0,7084,6867,6447,10075,86,250,69,78
양품,42.5,31.4,2169,164.2,109.0,4464,23.5,23.704,4071.0,7020,7047,6453,9750,86,210,69,84
양품,43.5,31.2,2163,166.3,113.0,4434,23.2,23.579,4058.0,6810,6780,6627,9751,78,230,69,80
명점,49.0,31.363000000000003,2148,166.1,130.0,4448,23.320999999999998,23.568,4035.5,6990,6753,6807,10076,80,250,69,82
양품,46.0,31.336,2344,167.8,102.0,4446,23.5,23.433000000000003,4064.0,7110,7113,6480,10074,87,200,75,82
양품,44.8,31.4,2165,166.1,136.0,4435,23.5,23.47,3972.0,6995,7047,6480,10074,88,250,69,78
양품,41.5,30.363000000000003,2169,167.2,144.0,4460,23.377,23.665,4024.0,6750,6873,6420,9750,86,210,69,84
양품,41.9,30.8,2161,167.4,100.0,4475,23.5,23.239,3989.0,7140,6837,6480,10074,100,230,69,78
양품,45.8,30.8,2203,167.6,93.0,4452,23.435,23.318,4109.0,6930,6690,6507,10076,88,220,69,76
양품,40.8,31.4,2165,166.2,156.0,4466,23.5,23.401999999999997,4062.0,7170,6900,6513,9750,88,210,72,78
양품,46.3,31.4,2181,166.3,94.0,4490,23.486,23.67,4247.0,7200,6840,6447,10076,88,210,66,80
양품,44.6,30.901,2342,167.0,133.0,4456,23.5,23.384,4101.0,7110,6900,6393,10076,78,210,69,80
양품,44.5,30.658,2163,167.3,155.3,4488,23.5,23.639,4087.0,7114,6927,6453,9750,86,200,71,78
양품,45.3,31.078000000000003,2188,167.8,124.0,4454,23.355,23.651,4097.0,7110,7380,6453,9750,88,220,72,80
양품,38.5,31.2,2142,166.3,100.0,4434,23.199,23.392,4058.0,6810,6780,6633,10077,76,260,69,80
양품,44.7,30.706,2161,166.3,156.0,4472,23.482,23.467,3977.0,7140,6900,6480,10075,88,210,69,78
양품,44.6,30.735,2152,165.4,155.4,4446,23.5,23.671,4076.0,7140,6960,6507,10074,86,220,74,80
양품,46.8,30.733,2201,165.3,139.0,4447,23.5,23.461,4080.0,7140,6927,6513,9750,88,200,69,98
양품,47.1,30.891,2199,166.6,116.0,4445,23.419,23.614,4018.0,7285,6900,6453,9750,92,210,74,0
양품,44.7,30.534000000000002,2172,166.8,139.0,4474,23.419,23.601999999999997,4099.0,7140,6867,6453,10075,88,250,69,82
양품,44.6,31.198,2198,166.8,147.0,4481,23.5,23.64,3979.0,7200,7113,6480,9750,86,250,72,78
양품,39.5,31.34,2135,168.2,117.0,4449,23.4,23.4,4065.0,6836,7047,6513,10076,100,220,69,80
명점,48.4,30.9,2145,168.3,100.0,4454,23.398000000000003,23.654,4072.0,6720,7140,6453,10074,86,220,69,78
양품,39.7,31.4,2202,164.2,119.0,4470,23.5,23.772,4025.0,8940,6987,6453,10074,86,210,72,78
양품,41.8,30.848000000000003,2176,166.7,104.0,4418,23.4,23.608,3983.0,6810,7293,6540,9750,86,220,69,80
