JUDGE,PANEL_ID,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH02,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT3,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7
양품,PNL-17,575,575,557,536,2106,2177,2321,3294,3826,3108,2939
양품,PNL-18,574,576,553,532,2114,2163,2328,3372,3896,3125,2961
양품,PNL-19,575,577,557,534,2139,2169,2326,3258,3936,3035,2964
양품,PNL-20,572,574,559,538,2098,2163,2316,3305,3847,3117,2877
명점,PNL-01,570,574,549,532,2015,2148,3151,3392,3257,3125,3155
양품,PNL-02,574,577,559,537,2169,2344,2294,3316,3775,3117,2969
양품,PNL-03,569,575,553,534,2003,2165,3226,3555,3459,3195,3218
양품,PNL-04,572,572,558,536,2104,2169,2325,3337,3838,3159,3005
양품,PNL-05,574,572,558,536,2258,2161,2336,3260,3918,3035,3356
양품,PNL-06,569,573,549,532,2100,2203,3474,3429,3347,3171,3210
양품,PNL-07,569,574,552,533,2009,2165,3177,3396,3271,3151,3214
양품,PNL-08,575,574,558,536,2157,2181,2298,3324,3797,3033,2929
양품,PNL-09,569,572,550,530,2010,2342,3318,3429,3340,3131,3191
양품,PNL-10,572,575,554,535,2032,2163,3286,3544,3350,3223,3205
양품,PNL-11,576,570,544,527,2034,2188,3165,4034,3389,3194,3139
양품,PNL-12,572,577,559,537,2121,2142,2296,3283,3880,3105,2876
양품,PNL-13,574,574,556,533,2111,2161,2494,3276,3805,3041,3107
양품,PNL-14,572,576,556,536,2143,2152,2280,3230,3828,3054,2962
양품,PNL-15,569,574,552,533,2114,2201,3230,3456,3349,3427,3144
양품,PNL-16,570,572,553,534,2004,2199,3653,3520,3269,3127,3327
양품,PNL-17,575,576,557,532,2116,2172,2313,3261,3920,3063,2883
양품,PNL-18,571,569,552,532,2031,2198,3239,3513,3422,3198,3143
양품,PNL-19,572,575,559,536,2158,2135,2284,3358,3867,3033,2959
명점,PNL-20,568,569,549,533,2029,2145,3152,3491,3335,3214,3199
양품,PNL-01,571,574,551,532,2038,2202,3231,3511,3369,3202,3141
양품,PNL-02,569,570,551,534,2004,2176,3147,3925,3348,3117,3191
양품,PNL-03,573,575,560,538,2104,2148,2291,3283,3826,3043,2860
양품,PNL-04,572,576,559,539,2109,2172,2300,3714,3842,3049,2967
양품,PNL-05,571,573,548,528,2025,2155,3173,3524,3326,3272,3192
양품,PNL-06,576,575,556,533,2152,2169,2335,3607,3822,3079,2878
양품,PNL-07,570,572,553,533,1995,2172,3233,3509,3427,3187,3205
양품,PNL-08,569,573,551,534,2030,2171,3153,3467,3361,3310,3166
양품,PNL-09,575,574,557,536,2141,2186,2334,3259,3942,3087,2895
양품,PNL-10,571,572,553,535,2030,2225,3262,3510,3343,3220,3188
양품,PNL-11,575,573,558,537,2194,2100,2272,3270,3785,3011,2948
양품,PNL-12,569,569,553,534,1998,2199,3211,3408,3285,3130,3198
