JUDGE,PANEL_ID,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH02,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT3,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7
양품,PNL-02,570,573,550,529,2038,2190,3247,3801,3339,3191,3168
양품,PNL-03,569,572,551,532,1999,2200,3277,3501,3739,3199,3254
양품,PNL-04,569,573,552,532,2028,2206,3251,3423,3580,3210,3160
양품,PNL-05,574,575,558,535,2161,2150,2288,3339,3956,3102,2954
양품,PNL-06,572,576,556,536,2143,2152,2280,3230,3828,3054,2962
양품,PNL-07,572,575,554,533,2127,2135,2290,3254,4297,3037,2953
양품,PNL-08,575,577,557,534,2139,2169,2326,3258,3936,3035,2964
양품,PNL-09,573,575,555,532,2110,2128,2301,3246,3941,3050,2968
양품,PNL-10,572,575,556,533,2317,2154,2537,3283,3898,3063,2904
양품,PNL-11,568,575,552,535,2031,2158,3243,3498,3257,3225,3170
양품,PNL-12,575,576,558,536,2120,2170,2288,3274,3850,3043,2952
양품,PNL-13,573,575,559,536,2184,2172,2336,3353,3833,3127,2885
양품,PNL-14,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-15,569,572,551,532,1999,2200,3277,3501,3739,3199,3254
양품,PNL-16,574,577,559,537,2167,2148,2295,3330,3815,3099,2957
양품,PNL-17,572,574,552,533,2016,2206,3219,3434,3302,3324,3135
양품,PNL-18,570,571,552,534,2046,2187,3222,3546,3436,3201,3160
양품,PNL-19,569,570,552,533,2084,2157,3187,3514,3336,3222,3184
양품,PNL-20,575,575,558,536,2098,2159,2292,3590,3816,3033,2980
양품,PNL-01,573,574,558,537,2101,2124,2320,3274,3911,3148,2971
양품,PNL-02,569,573,548,530,2059,2183,3260,3529,3292,3222,3249
양품,PNL-03,569,569,552,534,1996,2154,3275,3415,3265,3148,3235
양품,PNL-04,569,572,552,535,2069,2167,3251,3458,3376,3143,3229
양품,PNL-05,575,573,557,537,2114,2183,2289,3511,3863,3030,2947
양품,PNL-06,572,572,557,537,2167,2170,2284,3258,3813,3032,2995
양품,PNL-07,574,572,554,534,2118,2196,2325,3265,3940,3105,2953
명점,PNL-08,573,573,558,538,2210,2142,2267,3295,3762,3069,3126
양품,PNL-09,571,575,553,534,2037,2254,3224,3499,3272,3148,3170
양품,PNL-10,573,571,559,537,2357,2121,2357,3260,3928,3117,2892
양품,PNL-11,569,574,553,534,2062,2190,3208,3470,3240,3159,3120
명점,PNL-12,569,572,553,535,2008,2189,3200,3391,3312,3115,3220
양품,PNL-13,568,573,553,534,2029,2237,3184,3521,3276,3142,3220
양품,PNL-14,572,576,557,535,2123,2162,2314,3332,3827,3390,2956
명점,PNL-15,575,575,558,538,2109,2130,2251,3200,3761,3009,2930
양품,PNL-16,575,577,555,534,2294,2118,2276,3234,3824,3017,2921
양품,PNL-17,572,577,556,536,2150,2167,2359,3339,3820,3102,2905
양품,PNL-18,572,575,558,538,2117,2194,2328,3394,3875,3104,2943
양품,PNL-19,572,574,558,537,2272,2164,2321,3250,3896,3371,2890
양품,PNL-20,573,576,558,537,2166,2370,2350,3338,3815,3136,2953
양품,PNL-01,568,573,554,535,2031,2160,3129,3386,3258,3092,3117
양품,PNL-02,569,570,551,535,2024,2206,3186,3510,3252,3157,3288
양품,PNL-03,572,575,558,538,2117,2194,2328,3394,3875,3104,2943
양품,PNL-04,574,575,558,538,2106,2122,2329,3311,3915,3101,2973
양품,PNL-05,570,570,551,532,2025,2173,3263,3526,3348,3208,3607
양품,PNL-06,572,576,557,535,2123,2162,2314,3332,3827,3390,2956
양품,PNL-07,575,574,559,534,2110,2160,2347,3248,3846,3032,2984
양품,PNL-08,568,574,550,531,2017,2204,3228,3563,3355,3205,3149
양품,PNL-09,572,577,558,535,2094,2130,2265,3323,4243,3070,2876
양품,PNL-10,569,574,551,532,2004,2150,3271,3509,3347,3191,3182
양품,PNL-11,573,576,559,537,2212,2126,2302,3357,3832,3019,2962
양품,PNL-12,573,574,558,537,2163,2133,2555,3326,3818,3129,2908
양품,PNL-13,572,576,558,536,2111,2143,2293,3300,3979,3045,2961
명점,PNL-14,574,575,558,537,2131,2114,2260,3280,3421,3056,2825
양품,PNL-15,573,576,559,537,2212,2126,2302,3357,3832,3019,2962
양품,PNL-16,574,577,557,537,2118,2156,2331,3331,3818,3052,2978
양품,PNL-17,570,569,546,533,1995,2199,3210,3505,3336,3127,3132
양품,PNL-18,568,570,555,536,2003,2210,3216,3526,3241,3202,3214
양품,PNL-19,576,573,558,535,2145,2135,2324,3716,3914,3109,2875
양품,PNL-20,571,574,552,530,2000,2162,3181,3786,3345,3182,3235
양품,PNL-01,574,574,559,536,2154,2138,2279,3258,3845,3016,2888
양품,PNL-02,568,572,549,530,2031,2152,3164,3448,3348,3317,3186
양품,PNL-03,574,577,556,536,2140,2117,2284,3218,3767,2998,2962
양품,PNL-04,573,572,558,536,2159,2147,2288,3751,3965,3105,2961
양품,PNL-05,568,574,553,535,2017,2260,3141,3418,3338,3203,3169
양품,PNL-06,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-07,568,571,549,532,2032,2154,3170,3428,3341,3169,3232
양품,PNL-08,569,571,551,535,2000,2198,3203,3528,3358,3191,3146
명점,PNL-09,575,573,557,534,2132,2145,2288,3270,3421,3066,2872
양품,PNL-10,574,572,557,535,2171,2135,2321,3319,4009,3095,2876
양품,PNL-11,569,575,554,534,2023,2158,3235,3519,3416,3203,3220
양품,PNL-12,576,572,555,534,2104,2185,2369,3280,3850,3037,2886
양품,PNL-13,573,573,556,532,2112,2194,2353,3244,3909,3089,2896
양품,PNL-14,569,570,553,534,2069,2192,3320,3435,3338,3152,3258
명점,PNL-15,575,577,559,537,2106,2365,2299,3250,3821,3067,2987
양품,PNL-16,574,577,557,537,2118,2156,2331,3331,3818,3052,2978
양품,PNL-17,570,573,551,533,2017,2198,3246,3534,3312,3204,3178
양품,PNL-18,573,575,553,532,2118,2157,2290,3257,3871,3058,2968
양품,PNL-19,573,574,558,537,2101,2124,2320,3274,3911,3148,2971
양품,PNL-20,574,576,557,534,2116,2153,2321,3257,3905,3127,2949
양품,PNL-01,572,577,559,535,2138,2163,2320,3311,3862,3075,2875
명점,PNL-02,573,576,557,535,2108,2133,2272,3284,3321,3014,2946
양품,PNL-03,573,573,556,532,2112,2194,2353,3244,3909,3089,2896
양품,PNL-04,569,574,553,532,2121,2152,3388,3438,3337,3165,3255
양품,PNL-05,573,577,557,538,2147,2118,2271,3367,3932,3145,2889
양품,PNL-06,572,571,552,532,2011,2205,3254,3504,3338,3183,3227
양품,PNL-07,568,572,553,534,1999,2163,3166,3731,3323,3131,3215
양품,PNL-08,576,570,545,526,2035,2165,3269,3518,3263,3242,3184
명점,PNL-09,573,575,556,534,2114,2151,2283,3352,3189,3039,2952
양품,PNL-10,567,572,548,531,2009,2203,3238,3553,3293,3168,3225
양품,PNL-11,572,573,559,537,2101,2114,2252,3214,4295,3056,2891
양품,PNL-12,574,577,559,537,2167,2148,2295,3330,3815,3099,2957
양품,PNL-13,568,571,549,532,2032,2154,3170,3428,3341,3169,3232
양품,PNL-14,575,575,557,535,2144,2117,2322,3312,3906,3101,2895
양품,PNL-15,575,575,557,536,2106,2177,2321,3294,3826,3108,2939
양품,PNL-16,573,574,558,536,2187,2149,2278,3366,3864,3116,3255
양품,PNL-17,574,577,558,536,2121,2180,2330,3345,4314,3020,2889
양품,PNL-18,570,572,553,533,1995,2172,3233,3509,3427,3187,3205
양품,PNL-19,566,571,553,535,2022,2218,3230,3477,3324,3197,3155
양품,PNL-20,575,575,556,536,2112,2170,2278,3251,4029,3049,2972
양품,PNL-01,574,577,558,535,2134,2153,2313,3276,3908,3359,2917
양품,PNL-02,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-03,573,572,558,534,2114,2172,2264,3382,3831,3002,2941
양품,PNL-04,574,576,559,537,2108,2334,2304,3291,3931,3062,3067
양품,PNL-05,573,576,558,536,2108,2133,2282,3327,3801,3057,2966
양품,PNL-06,567,575,551,532,2041,2189,3225,3443,3338,3157,3304
양품,PNL-07,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-08,570,574,553,535,2033,2220,3249,3412,3330,3202,3155
양품,PNL-09,570,574,552,533,2026,2192,3247,3396,3606,3218,3176
양품,PNL-10,572,572,555,536,2027,2319,3172,3555,3296,3205,3148
양품,PNL-11,569,569,553,534,2001,2195,3260,3522,3355,3198,3245
양품,PNL-12,570,573,550,529,2038,2190,3247,3801,3339,3191,3168
양품,PNL-13,573,575,553,532,2118,2157,2290,3257,3871,3058,2968
양품,PNL-14,572,575,560,539,2159,2368,2315,3312,3918,3081,2870
양품,PNL-15,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-16,572,575,553,534,1991,2195,3235,3434,3652,3577,3229
양품,PNL-17,569,573,551,534,2030,2171,3153,3467,3361,3310,3166
양품,PNL-18,575,575,558,536,2098,2159,2292,3590,3816,3033,2980
양품,PNL-19,572,573,559,537,2101,2114,2252,3214,4295,3056,2891
양품,PNL-20,572,574,559,538,2098,2163,2316,3305,3847,3117,2877
양품,PNL-01,568,571,548,529,2028,2196,3248,3581,3464,3219,3174
양품,PNL-02,569,570,552,534,2017,2200,3168,3639,3283,3148,3215
양품,PNL-03,572,575,554,535,2032,2163,3286,3544,3350,3223,3205
양품,PNL-04,569,571,552,534,1992,2192,3221,3528,3336,3114,3162
양품,PNL-05,574,577,559,537,2169,2344,2294,3316,3775,3117,2969
양품,PNL-06,573,574,549,529,2096,2197,3298,3433,3342,3118,3394
양품,PNL-07,575,573,557,537,2114,2183,2289,3511,3863,3030,2947
양품,PNL-08,574,577,556,536,2140,2117,2284,3218,3767,2998,2962
양품,PNL-09,570,572,551,532,2039,2232,3282,3511,3351,3217,3192
양품,PNL-10,572,575,557,534,2109,2176,2291,3283,3839,3019,2960
양품,PNL-11,577,574,555,533,2110,2140,2290,3310,4134,3073,2972
양품,PNL-12,572,577,559,538,2133,2166,2295,3233,3818,3001,2935
양품,PNL-13,577,572,556,533,2171,2126,2426,3337,3861,3113,2979
양품,PNL-14,569,571,551,535,2000,2198,3203,3528,3358,3191,3146
양품,PNL-15,573,572,558,536,2159,2147,2288,3751,3965,3105,2961
양품,PNL-16,572,576,558,536,2109,2179,2278,3357,3859,3125,2988
양품,PNL-17,567,574,552,532,2022,2199,3255,3505,3272,3235,3182
명점,PNL-18,571,570,551,535,1991,2174,3106,3485,3205,3094,3096
양품,PNL-19,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-20,568,573,548,531,2057,2147,3252,3527,3269,3215,3154
양품,PNL-01,567,573,551,534,2032,2149,3212,3516,3355,3130,3206
양품,PNL-02,572,571,547,527,2034,2273,3159,3419,3312,3153,3168
양품,PNL-03,577,572,554,532,2156,2271,2338,3324,3887,3118,2906
명점,PNL-04,573,574,554,532,2170,2159,2266,3353,3123,3204,2881
양품,PNL-05,572,576,558,536,2109,2179,2278,3357,3859,3125,2988
양품,PNL-06,574,576,557,534,2116,2153,2321,3257,3905,3127,2949
양품,PNL-07,574,573,553,531,2120,2144,2299,3324,3938,3024,2993
양품,PNL-08,574,576,559,538,2162,2142,2305,3258,3798,3055,3029
양품,PNL-09,571,569,548,532,1986,2180,3206,3403,3227,3175,3182
양품,PNL-10,575,576,559,539,2144,2163,2294,3238,3830,3014,2921
양품,PNL-11,568,572,549,530,2031,2152,3164,3448,3348,3317,3186
양품,PNL-12,569,571,552,532,2043,2169,3189,3702,3341,3165,3140
양품,PNL-13,571,575,550,533,2040,2162,3159,3589,3289,3121,3138
양품,PNL-14,569,572,552,535,2069,2167,3251,3458,3376,3143,3229
양품,PNL-15,572,576,557,535,2112,2152,2319,3251,3824,3065,2952
명점,PNL-16,576,572,554,531,2043,2149,2215,3057,3662,2910,2721
양품,PNL-17,568,569,546,527,2048,2155,3172,3419,3322,3163,3229
양품,PNL-18,574,575,558,537,2115,2134,2313,3307,3896,3114,2959
양품,PNL-19,572,570,551,532,2003,2166,3177,3429,3329,3197,3175
양품,PNL-20,574,572,558,536,2145,2130,2365,3281,3886,3035,3110
양품,PNL-01,573,575,555,532,2110,2128,2301,3246,3941,3050,2968
양품,PNL-02,569,570,553,533,2000,2198,3242,3389,3315,3142,3535
양품,PNL-03,575,578,560,537,2146,2166,2330,3256,3898,3076,2898
양품,PNL-04,574,574,558,537,2112,2160,2315,3248,3818,3118,2962
양품,PNL-05,571,572,553,535,2030,2225,3262,3510,3343,3220,3188
양품,PNL-06,573,571,553,534,2047,2189,3263,3654,3353,3190,3123
양품,PNL-07,576,575,558,537,2120,2128,2328,3366,3919,3087,2976
양품,PNL-08,570,571,551,535,2012,2162,3231,3947,3358,3198,3215
양품,PNL-09,571,576,555,534,2159,2199,2315,3252,3902,3035,3322
양품,PNL-10,572,577,558,536,2153,2142,2292,3252,3814,3059,3002
양품,PNL-11,576,576,558,535,2179,2165,2328,3262,3906,3483,2880
명점,PNL-12,575,578,559,539,2099,2155,2289,3285,3411,3070,2920
양품,PNL-13,573,574,559,538,2117,2161,2294,3304,3988,3110,2949
양품,PNL-14,574,576,558,537,2121,2176,2413,3272,3826,3037,2946
양품,PNL-15,569,572,550,533,2012,2147,3151,3510,3292,3206,3117
양품,PNL-16,573,573,557,537,2161,2128,2290,3319,3807,3133,2972
양품,PNL-17,571,572,552,535,1981,2151,3159,3464,3331,3199,3119
양품,PNL-18,568,573,554,535,2031,2160,3129,3386,3258,3092,3117
명점,PNL-19,576,575,561,537,2099,2147,2299,3300,3780,3062,2940
양품,PNL-20,575,575,553,532,2145,2117,2292,3390,3915,3025,2891
양품,PNL-01,574,577,556,536,2140,2117,2284,3218,3767,2998,2962
양품,PNL-02,574,577,559,537,2133,2133,2294,3323,3799,3020,2952
양품,PNL-03,573,576,560,538,2142,2117,2272,3214,3783,3434,2928
양품,PNL-04,569,569,552,533,2014,2148,3201,3429,3329,3173,3261
양품,PNL-05,573,572,555,535,2143,2174,2334,3262,4006,3027,2884
양품,PNL-06,568,568,552,533,1995,2194,3233,3533,3262,3201,3221
양품,PNL-07,575,572,559,537,2132,2219,2319,3342,3924,3102,2973
양품,PNL-08,567,571,554,536,1997,2208,3215,3395,3545,3124,3181
양품,PNL-09,570,572,552,534,2094,2165,3327,3528,3339,3202,3238
양품,PNL-10,573,574,558,537,2101,2124,2320,3274,3911,3148,2971
양품,PNL-11,573,573,546,529,2004,2223,3247,3467,3399,3202,3212
양품,PNL-12,573,575,554,535,2129,2370,2303,3309,3958,3055,3234
양품,PNL-13,568,570,553,535,1984,2178,3194,3484,3324,3182,3123
양품,PNL-14,569,572,552,532,2003,2238,3207,3410,3273,3134,3251
양품,PNL-15,568,574,551,531,2002,2133,3139,3387,3270,3104,3201
양품,PNL-16,570,569,554,533,2089,2151,3247,3418,3325,3241,3433
양품,PNL-17,574,572,558,536,2145,2130,2365,3281,3886,3035,3110
명점,PNL-18,575,571,558,536,2098,2158,2273,3561,3795,3009,2945
명점,PNL-19,569,574,553,535,1990,2143,3288,3525,3273,3202,3224
양품,PNL-20,574,576,558,537,2121,2176,2413,3272,3826,3037,2946
명점,PNL-01,573,573,557,537,2146,2132,2282,3319,3798,3102,2900
양품,PNL-02,575,574,559,534,2110,2160,2347,3248,3846,3032,2984
양품,PNL-03,569,571,552,533,2016,2201,3250,3499,3357,3231,3205
양품,PNL-04,569,573,553,533,1999,2185,3141,3494,3286,3199,3227
명점,PNL-05,574,576,558,536,2154,2118,2283,3332,3903,3130,3192
양품,PNL-06,576,573,558,535,2145,2135,2324,3716,3914,3109,2875
양품,PNL-07,572,577,558,535,2094,2130,2265,3323,4243,3070,2876
양품,PNL-08,572,575,554,533,2127,2135,2290,3254,4297,3037,2953
양품,PNL-09,569,572,552,535,2026,2191,3238,3544,3286,3141,3227
양품,PNL-10,572,576,558,535,2154,2147,2299,3264,3894,3036,2962
양품,PNL-11,571,571,552,534,2190,2199,3631,3538,3292,3209,3203
양품,PNL-12,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-13,573,572,558,536,2100,2165,2320,3216,3806,3010,2978
양품,PNL-14,569,575,554,534,2023,2158,3235,3519,3416,3203,3220
양품,PNL-15,572,570,547,532,2008,2174,3260,3414,3370,3211,3328
양품,PNL-16,569,570,552,534,2017,2200,3168,3639,3283,3148,3215
양품,PNL-17,574,575,558,537,2257,2116,2278,3235,3881,3003,2968
양품,PNL-18,572,569,551,531,2002,2193,3242,3511,3272,3196,3171
양품,PNL-19,569,575,553,534,2003,2165,3226,3555,3459,3195,3218
양품,PNL-20,575,574,555,531,2156,2151,2336,3292,3906,3076,2885
양품,PNL-01,576,576,558,535,2179,2165,2328,3262,3906,3483,2880
양품,PNL-02,568,571,552,533,1996,2216,3234,3663,3367,3192,3203
양품,PNL-03,571,575,558,536,2113,2120,2291,3247,3921,3058,2894
양품,PNL-04,569,570,552,533,2010,2201,3247,3434,3307,3135,3230
양품,PNL-05,569,572,552,535,2069,2167,3251,3458,3376,3143,3229
양품,PNL-06,577,574,557,536,2148,2115,2318,3274,3914,3121,2921
양품,PNL-07,569,570,551,535,2025,2211,3221,3448,3283,3287,3141
양품,PNL-08,573,571,559,537,2159,2165,2283,3368,3837,3033,2961
양품,PNL-09,575,572,559,536,2113,2174,2325,3235,4087,3041,2964
양품,PNL-10,567,573,551,534,2032,2149,3212,3516,3355,3130,3206
양품,PNL-11,574,577,559,537,2133,2133,2294,3323,3799,3020,2952
양품,PNL-12,569,569,553,534,2001,2195,3260,3522,3355,3198,3245
양품,PNL-13,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-14,572,573,557,537,2150,2187,2347,3321,3898,3095,2907
양품,PNL-15,574,572,558,536,2145,2130,2365,3281,3886,3035,3110
양품,PNL-16,572,574,552,534,2162,2197,3475,3514,3266,3141,3382
양품,PNL-17,569,573,551,534,2030,2171,3153,3467,3361,3310,3166
명점,PNL-18,568,569,553,534,1991,2181,3145,3513,3248,3504,3236
양품,PNL-19,573,572,555,535,2143,2174,2334,3262,4006,3027,2884
양품,PNL-20,569,569,552,534,2011,2145,3177,3524,3274,3283,3252
양품,PNL-01,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-02,569,573,553,533,1999,2185,3141,3494,3286,3199,3227
양품,PNL-03,574,573,559,538,2318,2167,2334,3377,3909,3093,2880
양품,PNL-04,576,576,557,535,2129,2166,2335,3249,3867,3016,2906
양품,PNL-05,569,571,552,533,2016,2201,3250,3499,3357,3231,3205
양품,PNL-06,574,576,558,536,2132,2196,2306,3260,3831,3030,2970
양품,PNL-07,569,569,552,534,1996,2154,3275,3415,3265,3148,3235
양품,PNL-08,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
명점,PNL-09,579,572,555,532,2144,2174,2298,3323,3213,3064,2863
명점,PNL-10,571,569,545,528,2021,2197,3221,3494,3240,3224,3163
양품,PNL-11,572,573,559,537,2146,2117,2268,3287,3833,3035,2902
양품,PNL-12,576,576,556,535,2036,2063,2169,3154,3588,3234,2698
양품,PNL-13,575,575,556,533,2149,2127,2277,3227,4177,3019,2964
양품,PNL-14,574,577,558,535,2126,2172,2272,3388,3911,3052,2952
양품,PNL-15,569,574,553,532,2121,2152,3388,3438,3337,3165,3255
양품,PNL-16,573,574,558,537,2163,2133,2555,3326,3818,3129,2908
양품,PNL-17,575,577,557,535,2152,2163,2335,3238,3890,3100,2887
양품,PNL-18,570,571,551,535,1995,2179,3183,3399,3303,3338,3120
양품,PNL-19,569,573,551,534,2030,2171,3153,3467,3361,3310,3166
양품,PNL-20,575,573,557,537,2114,2183,2289,3511,3863,3030,2947
명점,PNL-01,570,573,553,533,2014,2183,3218,3375,3533,3093,3171
양품,PNL-02,571,577,559,538,2117,2151,2288,3255,4001,3030,2967
양품,PNL-03,571,575,553,534,2023,2196,3271,3423,3339,3127,3174
양품,PNL-04,577,572,556,533,2171,2126,2426,3337,3861,3113,2979
양품,PNL-05,575,571,544,526,2002,2214,3288,3515,3331,3197,3239
명점,PNL-06,574,576,557,534,2029,2015,2158,3033,3683,2825,2756
양품,PNL-07,569,572,552,535,2026,2191,3238,3544,3286,3141,3227
양품,PNL-08,572,574,555,532,2150,2134,2291,3291,3918,3024,2897
양품,PNL-09,575,576,559,539,2144,2163,2294,3238,3830,3014,2921
양품,PNL-10,574,577,559,536,2318,2155,2293,3271,3795,3049,3303
양품,PNL-11,572,575,556,533,2317,2154,2537,3283,3898,3063,2904
명점,PNL-12,574,572,549,528,2018,2140,3112,3486,3296,3066,3168
양품,PNL-13,571,575,552,532,2037,2265,3189,3502,3257,3195,3184
양품,PNL-14,573,576,559,537,2164,2141,2309,3253,3910,3051,2919
양품,PNL-15,570,569,546,533,1995,2199,3210,3505,3336,3127,3132
양품,PNL-16,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-17,575,573,558,536,2129,2183,2324,3284,3856,3042,2941
양품,PNL-18,569,569,554,535,2182,2200,3251,3711,3257,3605,3181
양품,PNL-19,569,571,551,534,1994,2193,3156,3419,3743,3149,3159
양품,PNL-20,574,577,559,536,2318,2155,2293,3271,3795,3049,3303
양품,PNL-01,575,572,556,533,2163,2128,2330,3269,3900,3037,2949
양품,PNL-02,569,573,553,535,2091,2184,3174,3538,3276,3140,3118
양품,PNL-03,573,576,556,536,2127,2161,2334,3350,3861,3073,2959
양품,PNL-04,568,573,551,531,2109,2173,3631,3439,3340,3313,3151
양품,PNL-05,575,574,559,534,2110,2160,2347,3248,3846,3032,2984
양품,PNL-06,572,573,560,538,2092,2160,2285,3312,3926,3060,2872
양품,PNL-07,574,577,558,535,2126,2172,2272,3388,3911,3052,2952
양품,PNL-08,573,574,558,535,2121,2169,2291,3361,3809,3060,2984
양품,PNL-09,573,573,557,536,2111,2127,2330,3248,3917,3079,3154
명점,PNL-10,575,579,562,539,2153,2138,2255,3212,3750,3007,2937
명점,PNL-11,575,573,557,537,2101,2126,2254,3249,3221,3010,2932
양품,PNL-12,570,574,551,531,2018,2151,3202,3422,3342,3166,3265
양품,PNL-13,570,569,546,533,1995,2199,3210,3505,3336,3127,3132
명점,PNL-14,574,569,546,528,1997,2183,3184,3409,3278,3174,3242
양품,PNL-15,571,571,553,535,2000,2149,3232,3473,3330,3158,3139
양품,PNL-16,570,570,551,532,2025,2173,3263,3526,3348,3208,3607
양품,PNL-17,573,573,558,537,2146,2144,2327,3311,4052,3101,2896
양품,PNL-18,573,574,552,532,2020,2205,3185,3565,3271,3133,3234
양품,PNL-19,569,571,551,534,2003,2203,3252,3515,3333,3216,3230
양품,PNL-20,573,576,559,537,2164,2141,2309,3253,3910,3051,2919
양품,PNL-01,572,574,559,537,2355,2126,2262,3265,3863,3072,2872
양품,PNL-02,572,576,558,537,2150,2178,2345,3254,3806,3085,2895
양품,PNL-03,573,576,559,537,2164,2141,2309,3253,3910,3051,2919
양품,PNL-04,573,572,551,533,2055,2208,3241,3434,3285,3138,3392
양품,PNL-05,575,577,559,537,2106,2365,2299,3250,3821,3067,2987
양품,PNL-06,573,574,554,531,2145,2171,2337,3354,3813,3073,2887
양품,PNL-07,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-08,569,570,553,534,2005,2216,3245,3431,3422,3199,3217
양품,PNL-09,573,574,559,538,2117,2161,2294,3304,3988,3110,2949
양품,PNL-10,567,573,553,533,2014,2153,3200,3555,3268,3231,3209
양품,PNL-11,569,572,553,534,2014,2169,3260,3531,3368,3214,3404
양품,PNL-12,573,574,553,533,2158,2152,2337,3350,3840,3123,2912
양품,PNL-13,570,570,553,535,2003,2188,3173,3390,3307,3113,3210
명점,PNL-14,569,573,548,531,1993,2196,3192,3524,3344,3191,3201
양품,PNL-15,572,569,549,532,2032,2179,3141,3548,3344,3125,3136
양품,PNL-16,575,574,558,536,2157,2181,2298,3324,3797,3033,2929
양품,PNL-17,573,573,557,535,2107,2178,2296,3281,3825,3020,2976
양품,PNL-18,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-19,568,573,551,534,2019,2152,3160,3506,3323,3514,3151
양품,PNL-20,567,573,551,534,2032,2149,3212,3516,3355,3130,3206
양품,PNL-01,573,573,559,537,2357,2121,2346,3339,3903,3104,2977
양품,PNL-02,566,575,553,535,2034,2200,3285,3507,3337,3199,3153
양품,PNL-03,573,574,549,528,1996,2195,3242,3592,3256,3167,3210
양품,PNL-04,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
명점,PNL-05,574,577,558,536,2155,2103,2258,3210,3791,3008,2870
양품,PNL-06,569,571,554,533,2026,2173,3223,3502,3260,3186,3202
양품,PNL-07,572,574,558,537,2272,2164,2321,3250,3896,3371,2890
양품,PNL-08,573,573,558,537,2143,2133,2262,3234,3809,3006,2933
양품,PNL-09,570,570,553,535,2003,2188,3173,3390,3307,3113,3210
양품,PNL-10,575,574,558,536,2157,2181,2298,3324,3797,3033,2929
양품,PNL-11,569,572,552,535,2026,2191,3238,3544,3286,3141,3227
양품,PNL-12,574,570,549,530,2000,2200,3205,3488,3271,3150,3236
양품,PNL-13,567,573,549,533,2013,2198,3241,3567,3311,3211,3209
양품,PNL-14,569,573,549,531,2026,2173,3193,3478,3362,3216,3168
양품,PNL-15,571,574,551,529,2031,2143,3171,3418,3333,3219,3393
양품,PNL-16,573,576,558,537,2166,2370,2350,3338,3815,3136,2953
양품,PNL-17,567,574,552,532,2022,2199,3255,3505,3272,3235,3182
명점,PNL-18,574,569,548,533,2020,2190,3201,3541,3259,3204,3211
양품,PNL-19,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-20,569,573,551,531,2026,2212,3239,3420,3330,3213,3150
양품,PNL-01,573,575,557,535,2147,2165,2337,3275,3835,3048,2891
양품,PNL-02,569,574,552,533,2023,2253,3242,3538,3365,3210,3144
양품,PNL-03,573,576,556,536,2127,2161,2334,3350,3861,3073,2959
양품,PNL-04,574,577,559,535,2132,2282,2330,3316,3842,3102,2955
양품,PNL-05,571,570,552,533,1998,2187,3263,3426,3340,3220,3238
양품,PNL-06,569,573,552,532,2000,2162,3168,3464,3253,3156,3213
양품,PNL-07,572,573,554,533,2030,2157,3186,3510,3388,3203,3242
양품,PNL-08,575,574,557,536,2141,2186,2334,3259,3942,3087,2895
양품,PNL-09,573,576,557,535,2122,2128,2295,3274,3797,3057,2957
양품,PNL-10,569,575,551,532,2051,2151,3161,3563,3336,3258,3205
양품,PNL-11,570,571,553,534,1989,2189,3234,3500,3338,3233,3213
양품,PNL-12,574,571,547,528,1930,2055,2960,3282,3785,3246,3001
양품,PNL-13,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-14,575,577,557,534,2157,2148,2275,3347,3830,3108,2886
양품,PNL-15,572,573,551,534,2012,2158,3236,3423,3324,3229,3328
양품,PNL-16,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-17,573,572,558,536,2159,2147,2288,3751,3965,3105,2961
양품,PNL-18,572,573,553,534,2069,2168,3153,3407.5,3545,3132,3136
양품,PNL-19,569,570,553,535,2026,2157,3200,3407,3293,3129,3232
명점,PNL-20,570,573,555,535,2019,2164,3171,3448,3510,3143,3089
