JUDGE,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH02,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT3,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7
양품,569.0,572.0,552.0,535.0,2026.0,2191.0,3238.0,3544.0,3286.0,3141.0,3227.0
양품,568.0,573.0,548.0,531.0,2057.0,2147.0,3252.0,3527.0,3269.0,3215.0,3154.0
양품,574.0,577.0,559.0,535.0,2132.0,2282.0,2330.0,3316.0,3842.0,3102.0,2955.0
양품,570.0,573.0,553.0,533.0,2001.0,2160.0,3169.0,3801.0,3276.0,3179.0,3207.0
양품,570.0,573.0,548.0,529.0,2025.0,2194.0,3237.0,3508.0,3368.0,3196.0,3153.0
명점,571.0,574.0,549.0,533.0,1990.0,2187.0,3193.0,3486.0,3210.0,3163.0,3183.0
양품,572.0,574.0,559.0,538.0,2142.0,2142.0,2261.0,3297.0,3812.0,3019.0,2917.0
양품,570.0,571.0,553.0,534.0,1989.0,2189.0,3234.0,3500.0,3338.0,3233.0,3213.0
양품,568.0,574.0,550.0,531.0,2008.0,2201.0,3284.0,3517.0,3341.0,3200.0,3225.0
양품,573.0,576.0,559.0,537.0,2212.0,2126.0,2302.0,3357.0,3832.0,3019.0,2962.0
양품,578.0,576.0,554.0,530.0,2127.0,2159.0,2416.0,3240.0,3903.0,3067.0,2954.0
양품,572.0,573.0,553.0,534.0,2069.0,2168.0,3153.0,3407.5,3545.0,3132.0,3136.0
양품,569.0,572.0,553.0,534.0,2014.0,2169.0,3260.0,3531.0,3368.0,3214.0,3404.0
양품,573.0,574.0,558.0,537.0,2163.0,2133.0,2555.0,3326.0,3818.0,3129.0,2908.0
양품,569.0,570.0,551.0,535.0,2025.0,2211.0,3221.0,3448.0,3283.0,3287.0,3141.0
양품,568.0,569.0,546.0,527.0,2048.0,2155.0,3172.0,3419.0,3322.0,3163.0,3229.0
