JUDGE,TAT_6PHOS_1R_2DRY,TAT_6PHOS_2G_2DRY,TAT_6PHOS_4FIRE
양품,438.0,354.0,6874.0
양품,303.0,309.0,7290.0
양품,531.0,396.0,6866.0
양품,336.0,330.0,8970.0
양품,375.0,312.0,7170.0
양품,402.0,396.0,7260.0
양품,351.0,396.0,7110.0
명점,372.0,399.0,6725.0
양품,369.0,387.0,7260.0
양품,360.0,381.0,7115.0
양품,426.0,396.0,7260.0
양품,366.0,396.0,6960.0
양품,387.0,384.0,6805.0
양품,393.0,396.0,7140.0
명점,381.0,399.0,7015.0
양품,318.0,399.0,6865.0
양품,462.0,318.0,7050.0
양품,402.0,399.0,6960.0
양품,372.0,396.0,6840.0
양품,390.0,399.0,6865.0
양품,501.0,396.0,6960.0
양품,456.0,393.0,6990.0
양품,498.0,312.0,6990.0
양품,303.0,309.0,7290.0
양품,435.0,333.0,7084.0
양품,405.0,384.0,6960.0
양품,480.0,396.0,7166.0
양품,456.0,390.0,6960.0
양품,372.0,396.0,7166.0
양품,468.0,396.0,6900.0
양품,402.0,330.0,7106.0
양품,597.0,396.0,7165.0
명점,327.0,399.0,6780.0
양품,393.0,372.0,6964.0
양품,381.0,324.0,7055.0
양품,393.0,345.0,7140.0
양품,465.0,396.0,6840.0
양품,393.0,381.0,7316.0
양품,429.0,393.0,6840.0
양품,378.0,393.0,7110.0
양품,498.0,396.0,7024.0
양품,435.0,396.0,6960.0
양품,321.0,396.0,6840.0
양품,453.0,396.0,6870.0
양품,393.0,399.0,7225.0
양품,363.0,396.0,7110.0
양품,405.0,399.0,7260.0
양품,321.0,399.0,7140.0
양품,426.0,396.0,7140.0
양품,399.0,396.0,6900.0
양품,339.0,375.0,6810.0
양품,423.0,387.0,6990.0
양품,384.0,396.0,7140.0
양품,354.0,339.0,8945.0
양품,399.0,396.0,7166.0
양품,387.0,393.0,7080.0
양품,396.0,399.0,7260.0
양품,339.0,384.0,7260.0
양품,396.0,399.0,7260.0
양품,390.0,396.0,7170.0
양품,396.0,372.0,6900.0
양품,387.0,351.0,7020.0
양품,351.0,342.0,7140.0
양품,597.0,399.0,7140.0
양품,324.0,396.0,7140.0
양품,411.0,396.0,6960.0
양품,429.0,384.0,7285.0
양품,381.0,399.0,7080.0
양품,387.0,393.0,7080.0
양품,369.0,399.0,7084.0
양품,345.0,333.0,6784.0
양품,348.0,396.0,7140.0
양품,390.0,399.0,6840.0
양품,378.0,381.0,7084.0
양품,420.0,396.0,6865.0
양품,429.0,330.0,6900.0
양품,393.0,345.0,7140.0
양품,456.0,396.0,6895.0
양품,465.0,330.0,6990.0
양품,393.0,381.0,7316.0
양품,369.0,399.0,6935.0
양품,432.0,399.0,6960.0
양품,336.0,396.0,7080.0
명점,429.0,396.0,8970.0
양품,426.0,399.0,6960.0
양품,426.0,396.0,6930.0
양품,387.0,369.0,7110.0
양품,426.0,378.0,7020.0
양품,534.0,399.0,6960.0
양품,402.0,399.0,7290.0
양품,405.0,366.0,6960.0
양품,330.0,327.0,7080.0
양품,408.0,399.0,6960.0
양품,597.0,345.0,6990.0
양품,342.0,390.0,7115.0
양품,474.0,399.0,6814.0
명점,405.0,396.0,8970.0
양품,429.0,399.0,6960.0
