JUDGE,BLACK_RTD_TEMP_GLASS_START,BLACK_RTD_TEMP_GLASS_END,BLACK_RTD_TEMP_WALL_START,BLACK_RTD_TEMP_WALL_MAX,BLACK_RTD_PRES_START,BLACK_RTD_PRES_END,BLACK_RTD_TEMP_GLASS_OUT,BLACK_RTD_TEMP_HOOD_START,BLACK_RTD_TEMP_HOOD_MAX,AG_RTD_TEMP_GLASS_START,AG_RTD_TEMP_GLASS_END,AG_RTD_TEMP_WALL_START,AG_RTD_TEMP_WALL_MAX,AG_RTD_PRES_START,AG_RTD_PRES_END,AG_RTD_TEMP_GLASS_OUT,AG_RTD_TEMP_HOOD_START,AG_RTD_TEMP_HOOD_MAX,AG_EXPOSURE_TEMP_MASK,BUS_DEVELOP_TEMP_OVEN1,BUS_DEVELOP_TEMP_OVEN2,BUS_DEVELOP_TEMP_OVEN3,BUS_DEVELOP_TEMP_TANK1,BUS_DEVELOP_TEMP_TANK2,BUS_DEVELOP_TEMP_TANK3,BUS_DEVELOP_PRES2,BUS_DEVELOP_PRES3,BUS_FIRE_TEMP_KEEP_CH01,BUS_FIRE_TEMP_KEEP_CH02,BUS_FIRE_TEMP_KEEP_CH03,BUS_FIRE_TEMP_ANEAL_CH01,BUS_FIRE_TEMP_ANEAL_CH02,BUS_FIRE_TEMP_ANEAL_CH03
양품,45.0,104.9,91.0,116.3,201.5,173.0,59.7,95.0,97.3,46.9,139.0,78.1,102.9,354.9,410.2,43.5,92.1,92.1,23.564,61.04,62.743,63.3,23.2,31.2,34.6,2.03,1.991,564.0,581.0,597.0,575.0,540.0,520.0
명점,44.2,100.4,88.2,115.0,227.8,135.7,59.7,92.9,95.1,46.0,139.0,79.0,102.0,314.1,327.9,44.7,93.0,94.0,23.89,60.107,62.068,61.68,23.31,32.0,34.5,2.031,2.017,577.0,590.0,604.0,578.0,541.0,518.0
양품,44.0,107.8,88.8,114.2,230.0,148.6,59.1,93.0,95.6,46.2,138.0,76.8,102.0,314.0,423.8,47.0,92.0,92.2,23.667,60.756,62.11,61.189,23.489,30.541,32.739,2.029,2.074,574.0,585.0,602.0,575.0,541.0,518.0
명점,44.8,117.9,89.4,114.5,140.6,192.5,59.2,94.0,97.4,45.0,138.0,79.3,102.7,361.2,333.7,45.6,92.0,92.0,23.435,61.328,61.384,60.089,23.401,31.141,32.48,2.027,2.01,571.0,582.0,597.0,573.0,541.0,518.0
양품,44.8,108.3,88.6,114.4,177.9,192.5,59.2,93.6,96.0,45.1,138.0,76.9,100.9,357.2,376.2,45.1,91.9,92.0,23.42,61.457,60.068,62.355,23.419,31.036,34.581,2.032,2.061,576.0,586.0,603.0,570.0,538.0,514.0
양품,43.5,107.9,88.0,114.9,167.7,174.7,61.7,90.3,92.7,45.1,139.0,78.0,101.0,387.1,333.0,44.4,92.0,92.1,23.411,60.824,60.853,60.955,23.483,31.4,34.9,2.031,1.999,572.0,583.0,601.0,575.0,542.0,519.0
양품,44.8,106.0,89.2,115.0,247.7,196.1,59.4,93.0,96.0,45.3,138.0,78.0,100.8,398.2,350.5,46.6,93.0,93.0,23.354,61.478,62.818,62.749,23.398,30.8,35.3,2.032,1.996,566.0,583.0,599.0,574.0,540.0,517.0
양품,44.2,113.1,88.4,115.3,220.2,160.0,59.5,93.3,96.3,46.0,138.0,77.2,102.9,390.1,326.9,47.2,92.0,92.1,23.665,60.5,61.94,60.309,23.4,31.2,34.172,2.03,2.056,562.0,579.0,594.0,572.0,537.0,518.0
양품,44.7,103.1,90.1,115.3,223.9,169.1,59.7,92.3,94.8,45.0,139.0,79.0,104.0,366.8,364.6,43.5,94.0,95.0,23.641,60.6,61.675,61.7,23.115,31.0,32.3,2.03,2.002,565.0,581.0,596.0,576.0,540.0,520.0
양품,41.9,102.3,89.5,114.0,230.3,181.6,59.4,95.0,98.3,44.0,138.0,78.0,103.0,323.0,436.0,45.9,92.0,93.0,23.4,60.912,61.535,60.233,23.4,31.34,34.773,2.022,2.061,569.0,582.0,599.0,574.0,544.0,520.0
