JUDGE,LOT_ID,TAT_4DIELEC_FIRE,mean,gap
0,LOT-101,6447,6542.1,-1.4751046998604058
0,LOT-101,6600,6542.1,0.8772727272727217
0,LOT-101,6597,6542.1,0.832196452933146
0,LOT-101,6420,6542.1,-1.9018691588785104
0,LOT-101,6453,6542.1,-1.3807531380753195
0,LOT-101,6660,6542.1,1.7702702702702646
0,LOT-101,6480,6542.1,-0.958333333333339
0,LOT-101,6480,6542.1,-0.958333333333339
0,LOT-101,6453,6542.1,-1.3807531380753195
0,LOT-101,6453,6542.1,-1.3807531380753195
0,LOT-101,6513,6542.1,-0.44679871027176976
0,LOT-101,6600,6542.1,0.8772727272727217
1,LOT-101,6540,6542.1,-0.032110091743124826
0,LOT-101,6513,6542.1,-0.44679871027176976
0,LOT-101,6573,6542.1,0.47010497489730163
0,LOT-101,6567,6542.1,0.3791685701233385
0,LOT-101,6720,6542.1,2.647321428571423
0,LOT-101,6453,6542.1,-1.3807531380753195
0,LOT-101,6633,6542.1,1.370420624151962
1,LOT-101,6687,6542.1,2.1668909825033595
0,LOT-102,6480,6510.0,-0.4629629629629629
1,LOT-102,6660,6510.0,2.2522522522522523
0,LOT-102,6540,6510.0,0.45871559633027525
0,LOT-102,6453,6510.0,-0.8833100883310088
0,LOT-102,6420,6510.0,-1.4018691588785046
0,LOT-102,6600,6510.0,1.3636363636363635
0,LOT-102,6633,6510.0,1.854364540931705
0,LOT-102,6513,6510.0,0.046061722708429294
0,LOT-102,6447,6510.0,-0.9771986970684038
0,LOT-102,6573,6510.0,0.9584664536741214
0,LOT-102,6513,6510.0,0.046061722708429294
0,LOT-102,6507,6510.0,-0.04610419548178884
0,LOT-102,6447,6510.0,-0.9771986970684038
0,LOT-102,6447,6510.0,-0.9771986970684038
0,LOT-102,6453,6510.0,-0.8833100883310088
0,LOT-102,6507,6510.0,-0.04610419548178884
0,LOT-102,6573,6510.0,0.9584664536741214
0,LOT-102,6447,6510.0,-0.9771986970684038
0,LOT-102,6480,6510.0,-0.4629629629629629
0,LOT-102,6507,6510.0,-0.04610419548178884
1,LOT-103,6720,6513.6,3.071428571428566
0,LOT-103,6453,6513.6,-0.939098093909815
0,LOT-103,6453,6513.6,-0.939098093909815
0,LOT-103,6453,6513.6,-0.939098093909815
1,LOT-103,6540,6513.6,0.4036697247706366
0,LOT-103,6507,6513.6,-0.10142923005994103
0,LOT-103,6420,6513.6,-1.4579439252336506
0,LOT-103,6540,6513.6,0.4036697247706366
0,LOT-103,6480,6513.6,-0.5185185185185242
0,LOT-103,6540,6513.6,0.4036697247706366
0,LOT-103,6513,6513.6,-0.009212344541691446
0,LOT-103,6453,6513.6,-0.939098093909815
0,LOT-103,6453,6513.6,-0.939098093909815
0,LOT-103,6507,6513.6,-0.10142923005994103
0,LOT-103,6567,6513.6,0.813156692553672
0,LOT-103,6600,6513.6,1.3090909090909035
0,LOT-103,6480,6513.6,-0.5185185185185242
0,LOT-103,6453,6513.6,-0.939098093909815
0,LOT-103,6513,6513.6,-0.009212344541691446
1,LOT-103,6627,6513.6,1.7111815301041138
0,LOT-104,6627,6506.7,1.8153010411951138
0,LOT-104,6480,6506.7,-0.4120370370370342
0,LOT-104,6540,6506.7,0.5091743119266083
0,LOT-104,6513,6506.7,0.09672961768770431
0,LOT-104,6420,6506.7,-1.3504672897196233
0,LOT-104,6480,6506.7,-0.4120370370370342
0,LOT-104,6507,6506.7,0.00461041954818168
0,LOT-104,6600,6506.7,1.4136363636363665
0,LOT-104,6420,6506.7,-1.3504672897196233
0,LOT-104,6600,6506.7,1.4136363636363665
0,LOT-104,6513,6506.7,0.09672961768770431
0,LOT-104,6420,6506.7,-1.3504672897196233
0,LOT-104,6480,6506.7,-0.4120370370370342
0,LOT-104,6507,6506.7,0.00461041954818168
0,LOT-104,6453,6506.7,-0.8321710832171055
0,LOT-104,6600,6506.7,1.4136363636363665
0,LOT-104,6447,6506.7,-0.9260120986505324
0,LOT-104,6447,6506.7,-0.9260120986505324
0,LOT-104,6453,6506.7,-0.8321710832171055
0,LOT-104,6627,6506.7,1.8153010411951138
1,LOT-105,6807,6495.9,4.570295284266202
0,LOT-105,6480,6495.9,-0.24537037037036477
0,LOT-105,6480,6495.9,-0.24537037037036477
0,LOT-105,6420,6495.9,-1.1822429906542
0,LOT-105,6480,6495.9,-0.24537037037036477
0,LOT-105,6507,6495.9,0.1705855232826243
0,LOT-105,6513,6495.9,0.2625518194380526
0,LOT-105,6447,6495.9,-0.7584923220102316
0,LOT-105,6393,6495.9,-1.609572970436409
0,LOT-105,6453,6495.9,-0.6648070664807011
0,LOT-105,6453,6495.9,-0.6648070664807011
0,LOT-105,6633,6495.9,2.0669380370872963
0,LOT-105,6480,6495.9,-0.24537037037036477
0,LOT-105,6507,6495.9,0.1705855232826243
0,LOT-105,6513,6495.9,0.2625518194380526
0,LOT-105,6453,6495.9,-0.6648070664807011
0,LOT-105,6453,6495.9,-0.6648070664807011
0,LOT-105,6480,6495.9,-0.24537037037036477
0,LOT-105,6513,6495.9,0.2625518194380526
1,LOT-105,6453,6495.9,-0.6648070664807011
0,LOT-106,6453,6497.55,-0.6903765690376598
0,LOT-106,6540,6497.55,0.6490825688073367
0,LOT-106,6600,6497.55,1.5522727272727246
0,LOT-106,6453,6497.55,-0.6903765690376598
0,LOT-106,6453,6497.55,-0.6903765690376598
0,LOT-106,6453,6497.55,-0.6903765690376598
0,LOT-106,6447,6497.55,-0.7840856212191746
0,LOT-106,6480,6497.55,-0.27083333333333615
0,LOT-106,6453,6497.55,-0.6903765690376598
0,LOT-106,6453,6497.55,-0.6903765690376598
0,LOT-106,6573,6497.55,1.1478776814240044
0,LOT-106,6447,6497.55,-0.7840856212191746
0,LOT-106,6453,6497.55,-0.6903765690376598
0,LOT-106,6480,6497.55,-0.27083333333333615
0,LOT-106,6447,6497.55,-0.7840856212191746
0,LOT-106,6453,6497.55,-0.6903765690376598
0,LOT-106,6507,6497.55,0.14522821576763206
0,LOT-106,6873,6497.55,5.462680052378871
0,LOT-106,6480,6497.55,-0.27083333333333615
0,LOT-106,6453,6497.55,-0.6903765690376598
0,LOT-107,6540,6651.1578947368425,-1.6996619990342896
0,LOT-107,6567,6651.1578947368425,-1.2815272534923488
0,LOT-107,6447,6651.1578947368425,-3.166711567191601
0,LOT-107,6453,6651.1578947368425,-3.070787149183985
0,LOT-107,6600,6651.1578947368425,-0.7751196172248869
0,LOT-107,6600,6651.1578947368425,-0.7751196172248869
0,LOT-107,8973,6651.1578947368425,25.87587323373629
0,LOT-107,6573,6651.1578947368425,-1.1890749237310594
0,LOT-107,6540,6651.1578947368425,-1.6996619990342896
0,LOT-107,6453,6651.1578947368425,-3.070787149183985
0,LOT-107,6573,6651.1578947368425,-1.1890749237310594
0,LOT-107,6513,6651.1578947368425,-2.1212635457829347
0,LOT-107,6447,6651.1578947368425,-3.166711567191601
0,LOT-107,6507,6651.1578947368425,-2.2154279197301756
0,LOT-107,6540,6651.1578947368425,-1.6996619990342896
0,LOT-107,6513,6651.1578947368425,-2.1212635457829347
0,LOT-107,6453,6651.1578947368425,-3.070787149183985
0,LOT-107,6480,6651.1578947368425,-2.641325536062385
0,LOT-107,6600,6651.1578947368425,-0.7751196172248869
0,LOT-108,6600,6476.25,1.875
0,LOT-108,6453,6476.25,-0.3602975360297536
0,LOT-108,6453,6476.25,-0.3602975360297536
0,LOT-108,6573,6476.25,1.471930625285258
0,LOT-108,6447,6476.25,-0.4536993950674732
0,LOT-108,6480,6476.25,0.057870370370370364
0,LOT-108,6420,6476.25,-0.8761682242990654
0,LOT-108,6420,6476.25,-0.8761682242990654
0,LOT-108,6453,6476.25,-0.3602975360297536
0,LOT-108,6453,6476.25,-0.3602975360297536
0,LOT-108,6573,6476.25,1.471930625285258
0,LOT-108,6420,6476.25,-0.8761682242990654
0,LOT-108,6420,6476.25,-0.8761682242990654
0,LOT-108,6420,6476.25,-0.8761682242990654
0,LOT-108,6420,6476.25,-0.8761682242990654
0,LOT-108,6600,6476.25,1.875
0,LOT-108,6453,6476.25,-0.3602975360297536
0,LOT-108,6540,6476.25,0.974770642201835
0,LOT-108,6480,6476.25,0.057870370370370364
0,LOT-108,6447,6476.25,-0.4536993950674732
0,LOT-109,6510,6520.5,-0.16129032258064516
0,LOT-109,6600,6520.5,1.2045454545454546
0,LOT-109,6480,6520.5,-0.625
0,LOT-109,6507,6520.5,-0.2074688796680498
0,LOT-109,6420,6520.5,-1.5654205607476637
0,LOT-109,6480,6520.5,-0.625
0,LOT-109,6573,6520.5,0.7987220447284344
0,LOT-109,6507,6520.5,-0.2074688796680498
0,LOT-109,6627,6520.5,1.607062019013128
1,LOT-109,6453,6520.5,-1.0460251046025104
0,LOT-109,6573,6520.5,0.7987220447284344
0,LOT-109,6627,6520.5,1.607062019013128
0,LOT-109,6507,6520.5,-0.2074688796680498
0,LOT-109,6513,6520.5,-0.11515430677107323
0,LOT-109,6480,6520.5,-0.625
0,LOT-109,6573,6520.5,0.7987220447284344
0,LOT-109,6567,6520.5,0.7080858839652809
0,LOT-109,6453,6520.5,-1.0460251046025104
0,LOT-109,6540,6520.5,0.2981651376146789
0,LOT-109,6420,6520.5,-1.5654205607476637
0,LOT-110,6447,6541.2,-1.4611447184737059
0,LOT-110,6627,6541.2,1.2947034857401567
0,LOT-110,6540,6541.2,-0.018348623853208228
0,LOT-110,6447,6541.2,-1.4611447184737059
0,LOT-110,6453,6541.2,-1.3668061366806108
0,LOT-110,6600,6541.2,0.8909090909090935
1,LOT-110,6840,6541.2,4.368421052631581
1,LOT-110,6453,6541.2,-1.3668061366806108
0,LOT-110,6627,6541.2,1.2947034857401567
0,LOT-110,6513,6541.2,-0.43298019345923255
0,LOT-110,6480,6541.2,-0.9444444444444416
0,LOT-110,6540,6541.2,-0.018348623853208228
0,LOT-110,6600,6541.2,0.8909090909090935
0,LOT-110,6420,6541.2,-1.887850467289717
0,LOT-110,6507,6541.2,-0.5255878284923899
0,LOT-110,6540,6541.2,-0.018348623853208228
0,LOT-110,6540,6541.2,-0.018348623853208228
0,LOT-110,6447,6541.2,-1.4611447184737059
0,LOT-110,6573,6541.2,0.4837973528069402
0,LOT-110,6630,6541.2,1.3393665158371069
0,LOT-111,6447,6500.4,-0.8282922289436891
0,LOT-111,6447,6500.4,-0.8282922289436891
0,LOT-111,6480,6500.4,-0.31481481481480916
1,LOT-111,6480,6500.4,-0.31481481481480916
0,LOT-111,6507,6500.4,0.10142923005994103
0,LOT-111,6447,6500.4,-0.8282922289436891
0,LOT-111,6447,6500.4,-0.8282922289436891
0,LOT-111,6480,6500.4,-0.31481481481480916
0,LOT-111,6633,6500.4,1.9990954319312582
0,LOT-111,6507,6500.4,0.10142923005994103
1,LOT-111,6507,6500.4,0.10142923005994103
0,LOT-111,6513,6500.4,0.19345923537540863
0,LOT-111,6453,6500.4,-0.7345420734542016
0,LOT-111,6540,6500.4,0.6055045871559689
0,LOT-111,6480,6500.4,-0.31481481481480916
0,LOT-111,6600,6500.4,1.5090909090909146
0,LOT-111,6600,6500.4,1.5090909090909146
0,LOT-111,6480,6500.4,-0.31481481481480916
0,LOT-111,6480,6500.4,-0.31481481481480916
0,LOT-111,6480,6500.4,-0.31481481481480916
0,LOT-112,6507,6514.35,-0.11295527893038824
0,LOT-112,6600,6514.35,1.2977272727272673
0,LOT-112,6507,6514.35,-0.11295527893038824
0,LOT-112,6480,6514.35,-0.5300925925925982
0,LOT-112,6480,6514.35,-0.5300925925925982
0,LOT-112,6420,6514.35,-1.4696261682243048
0,LOT-112,6600,6514.35,1.2977272727272673
0,LOT-112,6453,6514.35,-0.9507205950720651
1,LOT-112,6633,6514.35,1.7887833559475295
0,LOT-112,6480,6514.35,-0.5300925925925982
0,LOT-112,6480,6514.35,-0.5300925925925982
0,LOT-112,6420,6514.35,-1.4696261682243048
0,LOT-112,6447,6514.35,-1.0446719404374183
0,LOT-112,6447,6514.35,-1.0446719404374183
0,LOT-112,6633,6514.35,1.7887833559475295
0,LOT-112,6447,6514.35,-1.0446719404374183
0,LOT-112,6600,6514.35,1.2977272727272673
0,LOT-112,6573,6514.35,0.8922866271109028
0,LOT-112,6513,6514.35,-0.020727775218798768
0,LOT-112,6567,6514.35,0.8017359524897159
0,LOT-113,6447,6485.25,-0.5932992089343881
0,LOT-113,6453,6485.25,-0.49976754997675504
0,LOT-113,6447,6485.25,-0.5932992089343881
0,LOT-113,6420,6485.25,-1.016355140186916
0,LOT-113,6453,6485.25,-0.49976754997675504
0,LOT-113,6600,6485.25,1.7386363636363638
0,LOT-113,6513,6485.25,0.426070935052971
0,LOT-113,6480,6485.25,-0.08101851851851852
0,LOT-113,6480,6485.25,-0.08101851851851852
0,LOT-113,6573,6485.25,1.3350068461889548
0,LOT-113,6513,6485.25,0.426070935052971
0,LOT-113,6480,6485.25,-0.08101851851851852
0,LOT-113,6480,6485.25,-0.08101851851851852
0,LOT-113,6420,6485.25,-1.016355140186916
0,LOT-113,6420,6485.25,-1.016355140186916
0,LOT-113,6480,6485.25,-0.08101851851851852
0,LOT-113,6633,6485.25,2.227498869289914
0,LOT-113,6480,6485.25,-0.08101851851851852
0,LOT-113,6453,6485.25,-0.49976754997675504
0,LOT-113,6480,6485.25,-0.08101851851851852
0,LOT-114,6420,6679.5,-4.042056074766355
0,LOT-114,6600,6679.5,-1.2045454545454546
0,LOT-114,6480,6679.5,-3.0787037037037037
0,LOT-114,6453,6679.5,-3.5099953509995347
0,LOT-114,6507,6679.5,-2.6509912402028584
0,LOT-114,6600,6679.5,-1.2045454545454546
0,LOT-114,6540,6679.5,-2.13302752293578
0,LOT-114,6480,6679.5,-3.0787037037037037
0,LOT-114,6627,6679.5,-0.7922136713444997
0,LOT-114,6447,6679.5,-3.6063285248953005
0,LOT-114,6540,6679.5,-2.13302752293578
0,LOT-114,6630,6679.5,-0.746606334841629
0,LOT-114,6453,6679.5,-3.5099953509995347
0,LOT-114,6573,6679.5,-1.620264719306253
0,LOT-114,6420,6679.5,-4.042056074766355
0,LOT-114,8973,6679.5,25.560013373453693
0,LOT-114,6480,6679.5,-3.0787037037037037
0,LOT-114,6480,6679.5,-3.0787037037037037
0,LOT-114,6567,6679.5,-1.7131110095934217
1,LOT-114,7320,6679.5,8.75
0,LOT-115,6480,6503.4,-0.3611111111111055
0,LOT-115,6513,6503.4,0.14739751266697934
0,LOT-115,6453,6503.4,-0.7810320781032022
0,LOT-115,6453,6503.4,-0.7810320781032022
0,LOT-115,6573,6503.4,1.0588772250114158
0,LOT-115,6453,6503.4,-0.7810320781032022
0,LOT-115,6600,6503.4,1.4636363636363692
0,LOT-115,6453,6503.4,-0.7810320781032022
0,LOT-115,6633,6503.4,1.9538670284938997
0,LOT-115,6480,6503.4,-0.3611111111111055
0,LOT-115,6477,6503.4,-0.40759610930986
0,LOT-115,6567,6503.4,0.9684787574234867
1,LOT-115,6540,6503.4,0.5596330275229413
0,LOT-115,6567,6503.4,0.9684787574234867
0,LOT-115,6480,6503.4,-0.3611111111111055
0,LOT-115,6513,6503.4,0.14739751266697934
0,LOT-115,6507,6503.4,0.0553250345781522
0,LOT-115,6453,6503.4,-0.7810320781032022
0,LOT-115,6453,6503.4,-0.7810320781032022
0,LOT-115,6420,6503.4,-1.2990654205607421
0,LOT-116,6453,6495.0,-0.6508600650860066
0,LOT-116,6600,6495.0,1.5909090909090908
0,LOT-116,6420,6495.0,-1.1682242990654206
0,LOT-116,6480,6495.0,-0.23148148148148145
0,LOT-116,6540,6495.0,0.6880733944954129
0,LOT-116,6453,6495.0,-0.6508600650860066
0,LOT-116,6420,6495.0,-1.1682242990654206
0,LOT-116,6480,6495.0,-0.23148148148148145
0,LOT-116,6480,6495.0,-0.23148148148148145
0,LOT-116,6447,6495.0,-0.7445323406235459
0,LOT-116,6420,6495.0,-1.1682242990654206
0,LOT-116,6507,6495.0,0.18441678192715535
0,LOT-116,6480,6495.0,-0.23148148148148145
0,LOT-116,6540,6495.0,0.6880733944954129
0,LOT-116,6420,6495.0,-1.1682242990654206
0,LOT-116,6573,6495.0,1.1866727521679599
0,LOT-116,6600,6495.0,1.5909090909090908
0,LOT-116,6540,6495.0,0.6880733944954129
0,LOT-116,6480,6495.0,-0.23148148148148145
0,LOT-116,6567,6495.0,1.0963910461397899
0,LOT-117,6507,6501.3,0.087597971415396
0,LOT-117,6447,6501.3,-0.842252210330389
0,LOT-117,6453,6501.3,-0.7484890748489104
0,LOT-117,6660,6501.3,2.38288288288288
0,LOT-117,6600,6501.3,1.4954545454545427
0,LOT-117,6573,6501.3,1.090826106800545
0,LOT-117,6453,6501.3,-0.7484890748489104
1,LOT-117,6633,6501.3,1.9855269109000424
