LOT,JUDGE,BLACK_RTD_TEMP_GLASS_START,BLACK_RTD_TEMP_GLASS_END,BLACK_RTD_TEMP_WALL_START,BLACK_RTD_TEMP_WALL_MAX,BLACK_RTD_PRES_START,BLACK_RTD_PRES_END,BLACK_RTD_TEMP_GLASS_OUT,BLACK_RTD_TEMP_HOOD_START,BLACK_RTD_TEMP_HOOD_MAX,AG_RTD_TEMP_GLASS_START,AG_RTD_TEMP_GLASS_END,AG_RTD_TEMP_WALL_START,AG_RTD_TEMP_WALL_MAX,AG_RTD_PRES_START,AG_RTD_PRES_END,AG_RTD_TEMP_GLASS_OUT,AG_RTD_TEMP_HOOD_START,AG_RTD_TEMP_HOOD_MAX,AG_EXPOSURE_TEMP_MASK,BUS_DEVELOP_TEMP_OVEN1,BUS_DEVELOP_TEMP_OVEN2,BUS_DEVELOP_TEMP_OVEN3,BUS_DEVELOP_TEMP_TANK1,BUS_DEVELOP_TEMP_TANK2,BUS_DEVELOP_TEMP_TANK3,BUS_DEVELOP_PRES2,BUS_DEVELOP_PRES3,BUS_FIRE_TEMP_KEEP_CH01,BUS_FIRE_TEMP_KEEP_CH02,BUS_FIRE_TEMP_KEEP_CH03,BUS_FIRE_TEMP_ANEAL_CH01,BUS_FIRE_TEMP_ANEAL_CH02,BUS_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH02,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT3,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7,PHOS_R_DRY_TEMP_GLASS_START,PHOS_R_DRY_TEMP_GLASS_END,PHOS_R_DRY_TEMP_WALL_START,PHOS_R_DRY_TEMP_WALL_MAX,PHOS_R_DRY_PRES_START,PHOS_R_DRY_PRES_END,PHOS_R_DRY_TEMP_GLASS_OUT,PHOS_R_DRY_TEMP_HOOD_START,PHOS_R_DRY_TEMP_HOOD_MAX,PHOS_G_DRY_TEMP_GLASS_START,PHOS_G_DRY_TEMP_GLASS_END,PHOS_G_DRY_TEMP_WALL_START,PHOS_G_DRY_TEMP_WALL_MAX,PHOS_G_DRY_PRES_START,PHOS_G_DRY_PRES_END,PHOS_G_DRY_TEMP_GLASS_OUT,PHOS_G_DRY_TEMP_HOOD_START,PHOS_G_DRY_TEMP_HOOD_MAX,PHOS_FIRE_TEMP_ANEAL_CH01,PHOS_FIRE_TEMP_ANEAL_CH02,PHOS_FIRE_TEMP_ANEAL_CH03,PHOS_FIRE_TEMP_ANEAL_CH04,PHOS_FIRE_EXHAUST_HEAT1,PHOS_FIRE_EXHAUST_HEAT2,PHOS_FIRE_EXHAUST_HEAT3,PHOS_FIRE_EXHAUST_HEAT4
183,0.15,44.03,106.575,88.98499999999999,114.875,202.66,170.78,58.825,93.09,96.03499999999998,45.754999999999995,137.85,77.59,101.475,349.57,382.505,43.75500000000001,92.565,93.01499999999999,23.542650000000002,60.667049999999996,61.65869999999999,61.796450000000014,23.4,30.969749999999998,34.2334,2.0287999999999995,2.0298499999999997,568.4,582.0,598.2,573.1,538.85,517.7,571.35,573.3,555.3,535.25,2091.6,2182.0,2761.5,3424.05,3592.15,3154.25,3060.75,47.03,135.76000000000002,106.795,166.14000000000001,86.19000000000001,72.88499999999999,27.145,122.64499999999998,155.23499999999999,46.96,139.59000000000003,108.48500000000001,187.91999999999996,55.05,30.459999999999997,32.650000000000006,81.81,82.815,443.8,420.1,391.95,370.75,3839.65,4063.8,4476.45,2551.0
184,0.15,44.49,107.39499999999998,88.96,114.99999999999997,200.175,160.325,58.970000000000006,93.49499999999999,96.23,45.845000000000006,137.85,78.06,102.03999999999999,353.885,383.7449999999999,45.285,92.83500000000001,93.285,23.533949999999997,60.98465000000001,62.02779999999999,62.33729999999999,23.364250000000002,31.04135,34.12535,2.02955,2.03795,569.35,583.0,598.85,572.6,539.85,517.3,572.35,573.5,555.05,534.75,2097.75,2168.6,2668.0,3425.65,3638.85,3112.25,3070.8,47.51999999999998,135.895,107.96499999999999,166.98499999999999,86.47500000000001,73.19,27.449999999999996,129.685,155.23499999999999,47.3,139.89500000000004,110.01500000000001,189.07999999999998,55.419999999999995,30.884999999999998,32.995000000000005,82.125,83.21000000000001,442.8,419.5,391.5,370.75,3908.1,4032.2,4468.4,2546.3
185,0.2,44.415000000000006,107.63999999999999,88.89500000000001,114.79999999999995,205.135,167.63500000000002,59.045,93.535,96.30999999999999,45.724999999999994,138.1,77.60999999999999,101.81,347.80000000000007,386.11,45.285,92.265,92.65,23.532249999999998,60.84920000000001,61.398300000000006,62.231100000000005,23.362050000000004,31.067950000000003,34.09625,2.0292,2.02725,570.1,583.25,599.05,573.2,540.0,517.6,572.0,573.65,554.3,533.85,2091.85,2161.2,2708.35,3411.1,3608.4,3136.25,3054.0,47.279999999999994,135.71499999999997,107.125,166.46999999999997,86.8,73.875,27.215000000000003,129.42000000000002,153.875,47.005,139.43,108.33,187.59999999999997,55.15500000000001,30.279999999999994,33.13000000000001,81.60000000000001,82.72,443.75,420.2,392.1,371.45,3980.05,4019.45,4452.3,2541.8
186,0.1,44.05,107.93999999999998,88.79,114.71000000000001,205.26,171.76000000000005,58.735,93.28999999999999,96.0,45.735,138.1,77.93499999999999,101.72999999999998,356.86499999999995,367.81499999999994,43.595000000000006,92.785,93.20000000000002,23.521949999999997,60.92700000000001,61.57315,61.8793,23.420299999999997,30.880600000000005,34.160650000000004,2.0298000000000003,2.02025,570.2,583.3,599.55,572.6,541.2,518.3,571.05,573.7,554.7,534.5,2072.2,2192.05,2806.35,3414.6,3576.2,3118.6,3098.2,46.89,135.66000000000003,106.505,166.175,86.37500000000001,72.235,27.394999999999992,130.605,154.36200000000002,46.82000000000001,139.70000000000002,108.89000000000001,188.33499999999998,55.40500000000001,29.73,32.615,81.985,83.02,443.75,420.0,392.25,371.4,3850.0,4046.9,4462.0,2549.95
187,0.15,44.36,109.34,88.97999999999999,115.00999999999996,201.83499999999998,170.63,58.795,93.57000000000001,96.24000000000001,45.775,138.05,77.85499999999999,101.83500000000001,356.22999999999996,379.285,44.82000000000001,92.87500000000001,93.215,23.540500000000005,60.69775,61.658449999999995,62.44435000000001,23.3963,31.040699999999998,34.443999999999996,2.02815,2.0307500000000003,569.1,582.7,598.85,572.95,539.45,517.5,572.35,573.4,555.6,535.35,2117.1,2162.1,2584.8,3367.8,3699.25,3114.0,3027.55,47.315000000000005,135.865,108.725,167.24999999999997,86.22,73.20499999999998,27.244999999999997,130.395,154.78000000000003,46.87499999999999,139.305,109.035,188.21499999999997,55.835,29.704999999999995,32.6,81.975,83.02499999999998,443.4,419.95,391.8,371.15,3875.1,4037.45,4468.9,2546.25
188,0.1,44.059999999999995,107.92,88.54500000000002,114.69500000000001,196.35500000000002,162.93,58.73499999999999,92.755,95.475,45.589999999999996,137.95,77.635,101.82500000000002,342.11499999999995,385.96500000000003,44.45,92.93999999999998,93.58000000000001,23.558399999999995,61.06575,61.58850000000001,62.500150000000005,23.40505,31.0747,34.19985000000001,2.03,2.0296,569.8,582.45,598.3,572.45,539.6,518.15,570.65,573.85,554.2,533.45,2074.2,2173.75,2801.1,3398.7,3585.55,3145.75,3084.85,47.045,135.73,107.60999999999999,166.60499999999996,87.22500000000001,72.60999999999999,27.705000000000002,129.3,153.755,47.33,139.66000000000003,108.99000000000001,188.495,55.705000000000005,29.375,32.99000000000001,82.07499999999999,83.14500000000001,442.85,419.3,391.15,370.35,3999.95,4030.8,4477.75,2538.35
189,0.3,44.135,107.47999999999999,89.08500000000001,114.87499999999997,194.21499999999997,166.28,58.70000000000001,93.27,96.08500000000001,45.86,138.3,78.09,102.02499999999999,345.56500000000005,391.47999999999996,44.870000000000005,93.225,93.64500000000001,23.569050000000004,60.52685000000001,61.3076,61.55615,23.387299999999996,30.9444,34.217200000000005,2.0275,2.0348499999999996,569.55,582.85,598.75,572.0,540.15,518.25,571.95,573.75,555.25,534.95,2103.65,2163.65,2641.0,3356.25,3670.75,3123.95,3011.05,47.260000000000005,135.85,108.21000000000001,166.79000000000002,86.48000000000002,72.54499999999999,27.425,127.28999999999999,155.88999999999996,47.165000000000006,139.63500000000002,108.81500000000001,188.14999999999995,56.464999999999996,29.600000000000005,32.79,81.945,83.075,443.35,419.55,391.7,371.05,3937.15,4029.55,4475.8,2548.5
190,0.05,43.864999999999995,108.39500000000001,88.74,114.76000000000002,200.94000000000003,177.22999999999996,58.86500000000001,93.33000000000001,96.105,45.55,137.95,77.64,101.93,345.19500000000005,398.21500000000003,42.945,92.96000000000001,93.575,23.471099999999996,61.07625,62.166599999999995,62.66429999999999,23.403150000000004,30.9783,34.399899999999995,2.0277000000000003,2.03795,567.55,581.75,598.1,572.8,540.4,518.15,572.1,573.0,554.1,533.25,2086.45,2165.15,2719.75,3401.625,3624.7,3138.85,3077.0,47.165000000000006,135.825,107.75000000000003,166.985,86.66,73.12500000000001,27.359999999999996,129.995,154.497,46.96499999999999,139.62,109.86499999999998,189.135,56.31,29.669999999999998,33.084999999999994,82.45499999999998,83.50499999999998,443.3,419.6,391.85,370.9,3856.0,4076.2,4513.25,2551.9
191,0.05,44.285,106.86500000000001,89.13500000000002,114.74000000000001,201.25,166.29000000000002,58.785000000000004,93.345,96.205,45.8,138.05,77.775,101.575,352.05500000000006,380.98,43.675000000000004,93.035,93.36000000000001,23.544449999999994,60.708000000000006,61.6366,61.93185,23.422500000000003,30.974849999999993,34.1377,2.0258,2.0380499999999997,569.8,583.05,598.75,572.0,540.25,517.65,572.55,573.9,553.95,533.8,2108.1,2176.75,2721.2,3362.7,3660.65,3124.7,3041.25,47.330000000000005,135.91,108.88,166.845,86.34,72.6,27.564999999999998,135.97,154.53400000000002,47.06499999999999,139.895,109.63999999999996,188.79,55.14999999999999,30.060000000000002,33.6,82.35000000000001,83.39999999999999,443.3,419.75,391.8,371.15,3991.2,4033.0,4462.05,2535.4
192,0.15,44.120000000000005,105.85499999999999,88.905,114.545,198.66500000000002,164.70499999999998,58.59999999999999,93.24,96.04499999999999,45.605,138.055,78.28999999999999,102.04,346.58,388.485,44.11,93.19000000000001,93.72999999999999,23.607300000000002,60.59075,61.763149999999996,62.06994999999999,23.411450000000002,30.92545,34.024449999999995,2.03,2.0344000000000007,567.35,581.95,598.0,572.6,540.45,518.1,571.95,573.1,554.6,534.1,2091.4,2181.95,2761.6,3420.85,3589.1,3132.0,3056.1,47.035,135.825,107.98499999999999,166.86,85.87499999999999,72.755,27.78000000000001,126.4,152.63100000000003,46.55000000000001,139.37,107.5,187.04,55.889999999999986,29.775000000000006,32.99999999999999,81.14499999999998,82.365,444.0,420.35,391.95,370.95,3881.85,4045.15,4475.05,2545.8
