LOT,JUDGE,TAT_1BLACK_1PRINT,TAT_1BLACK_2RTD,TAT_2AG_1PRINT,TAT_2AG_2RTD,TAT_2AG_3EXPOSURE,TAT_3BUS_1DEVELOP,TAT_3BUS_2FIRE,TAT_4DIELEC_FIRE,TAT_5MGO,TAT_6PHOS_1R_1DISPENSER,TAT_6PHOS_1R_2DRY,TAT_6PHOS_2G_1DISPENSER,TAT_6PHOS_2G_2DRY,TAT_6PHOS_3B_1DISPENSER,TAT_6PHOS_4FIRE,TAT_8AGING
274,0.15,88.9,215.5,84.25,70.95,166.0,369.2,6932.4,6487.95,534.5,82.1,405.0,80.2,382.35,84.5,6987.45,9993.45
275,0.1,88.7,217.5,85.85,70.65,160.5,371.0,6904.8,6507.3,534.5,81.6,392.25,80.2,381.45,84.6,7030.75,9966.25
276,0.1,88.55,218.5,84.5,70.7,161.2,372.0,7015.35,6485.7,544.5,80.6,418.8,80.6,392.1,83.7,7082.45,9961.6
277,0.15,88.9,220.5,85.4,72.0,180.0,371.6,7005.15,6497.7,534.0,81.1,387.9,80.4,378.0,83.0,7089.25,9912.35
278,0.15,86.8,219.5,82.85,70.2,161.4,373.6,6940.65,6498.3,534.0,76.5,414.45,77.0,383.55,81.1,7289.65,9928.7
279,0.15,88.3,217.5,84.3,70.5,162.2,363.0,7064.55,6498.0,532.0,84.2,423.9,80.6,379.8,83.6,7123.75,9961.35
280,0.1,87.05,222.0,84.3,68.95,176.7,373.4,6978.45,6490.05,534.0,80.8,432.0,80.5,383.1,85.8,6997.25,9944.8
281,0.25,89.55,216.0,84.8,70.45,160.9,370.0,7033.05,6511.95,533.5,81.4,405.15,82.2,373.05,85.2,7242.95,9994.1
282,0.15,84.65,220.0,83.05,70.6,153.1,376.8,7042.05,6490.65,533.0,79.7,414.6,80.1,384.45,85.6,7116.95,10009.65
283,0.2,85.75,225.5,84.35,70.6,168.1,372.0,6967.05,6539.1,544.0,80.3,393.3,82.1,380.4,84.5,7042.05,9977.55
284,0.05,87.45,214.5,84.7,69.7,177.9,370.0,6969.3,6605.25,533.5,80.8,410.7,81.0,375.75,85.7,7104.3,10010.0
285,0.25,87.3,218.5,84.45,70.05,154.4,373.4,6943.05,6501.75,544.5,78.5,403.65,79.9,382.35,80.7,7196.35,9977.45
286,0.25,87.8,221.0,82.4,69.8,158.0,383.8,6872.7,6501.9,529.0,76.0,381.9,77.9,380.85,81.1,7063.0,10026.05
287,0.1,88.7,215.0,84.75,71.35,165.2,368.0,7014.15,6478.35,532.5,78.9,377.7,83.0,378.6,85.3,7051.7,10026.0
288,0.2,86.7,216.5,84.5,69.5,165.1,373.0,7089.75,6493.65,533.5,82.6,416.25,85.0,372.45,85.0,7222.55,10005.6
289,0.15,86.6,221.0,82.7,70.6,156.9,373.2,7000.65,6501.6,533.5,79.4,412.05,81.4,373.95,85.5,7138.5,9944.55
290,0.2,88.55,218.0,86.4,70.95,180.1,369.4,6994.2,6485.4,534.0,80.0,385.5,83.8,386.55,83.8,7138.6,10010.65
291,0.05,88.3,221.5,85.35,70.85,161.2,367.2,6876.0,6626.7,531.0,83.5,422.7,78.5,369.0,85.0,7021.3,9945.0
292,0.15,88.05,222.0,85.05,71.3,176.2,362.2,7009.65,6498.3,533.0,80.0,408.3,81.6,370.65,84.1,7267.95,10000.9
293,0.1,90.0,219.5,85.75,70.7,156.6,371.8,6975.45,6628.65,533.5,80.8,388.95,79.5,360.15,84.0,7226.75,9961.1
294,0.05,88.5,217.5,84.95,70.65,174.5,361.8,6940.2,6509.4,534.5,80.8,406.65,82.6,380.25,86.5,7044.3,9960.9
295,0.15,89.5,218.5,84.75,70.0,166.5,370.2,6919.5,6518.4,527.0,80.3,397.5,81.4,381.45,83.2,7121.0,9896.35
296,0.1,87.4,218.5,85.2,71.15,175.2,365.0,6936.0,6468.6,539.5,77.0,416.4,76.4,359.85,80.9,7194.0,9977.45
297,0.2,88.8,218.0,84.75,70.65,155.5,366.6,6849.9,6529.95,534.0,77.0,419.4,77.4,377.55,81.0,6996.4,9940.9
298,0.2,87.65,221.0,84.45,70.35,175.0,369.8,6899.4,6503.25,533.5,77.4,424.95,76.3,377.85,80.8,7176.6,10026.55
299,0.1,86.65,221.0,84.5,70.25,178.9,368.4,6961.05,6505.65,535.0,80.3,403.35,83.8,372.75,84.9,6985.15,9961.3
300,0.05,9.2,21.5,8.65,6.9,17.9,35.4,683.7,662.7,53.0,7.9,35.55,8.4,38.7,8.2,691.25,991.2
