LOT,JUDGE,TAT_1BLACK_1PRINT,TAT_1BLACK_2RTD,TAT_2AG_1PRINT,TAT_2AG_2RTD,TAT_2AG_3EXPOSURE,TAT_3BUS_1DEVELOP,TAT_3BUS_2FIRE,TAT_4DIELEC_FIRE,TAT_5MGO,TAT_6PHOS_1R_1DISPENSER,TAT_6PHOS_1R_2DRY,TAT_6PHOS_2G_1DISPENSER,TAT_6PHOS_2G_2DRY,TAT_6PHOS_3B_1DISPENSER,TAT_6PHOS_4FIRE,TAT_8AGING
140,0.1,86.1,215.0,84.5,70.7,153.0,370.0,6841.05,6490.05,537.0,79.7,400.05,79.8,377.1,84.3,7077.0,9961.4
141,0.05,89.4,217.0,84.75,71.65,168.1,373.8,6905.4,6553.05,530.0,78.9,422.85,81.9,368.7,83.6,7158.55,9945.15
142,0.05,87.45,213.0,85.05,70.55,156.6,370.8,6883.35,6484.65,537.0,81.6,409.95,82.5,379.65,85.5,7079.0,9945.35
143,0.1,86.9,219.5,83.5,70.6,158.5,372.2,6940.95,6523.95,532.5,81.5,408.75,84.7,382.2,85.9,6970.3,9977.05
144,0.05,87.05,218.5,83.8,69.6,154.5,377.0,6931.2,6484.65,531.5,80.3,408.3,82.0,381.0,86.5,7105.25,9928.65
145,0.05,88.05,222.5,84.65,69.7,183.4,374.6,6996.6,6517.8,529.5,81.2,382.2,82.0,363.6,85.9,7138.2,10026.15
146,0.0,88.3,214.5,85.65,70.95,156.3,362.8,7045.65,6506.55,533.0,79.2,408.45,82.2,381.45,83.2,7317.4,9977.7
147,0.05,87.0,220.0,85.4,70.5,160.6,366.4,7057.35,6635.7,534.5,80.0,399.6,83.5,363.45,83.6,7099.65,10009.6
148,0.05,88.7,215.5,84.6,71.1,179.0,375.8,6963.0,6509.85,529.0,83.9,417.45,81.8,371.85,84.8,7120.5,9993.55
149,0.0,88.0,216.0,84.75,70.55,152.8,372.2,6986.4,6496.35,530.5,75.9,422.85,75.7,382.2,80.2,7247.45,9989.45
150,0.15,86.8,226.0,83.25,69.8,173.8,370.2,6921.0,6572.85,533.0,80.3,399.45,80.5,371.1,84.9,7438.85,10026.15
151,0.05,87.3,223.0,84.6,70.45,156.7,370.6,7176.6,6520.5,545.0,81.7,386.85,81.9,381.15,83.9,7166.5,9896.1
152,0.15,88.85,221.0,85.55,69.9,170.8,367.2,7006.5,6490.65,533.5,78.9,424.2,81.4,376.05,84.4,7126.0,9944.95
153,0.05,87.65,219.0,84.5,70.55,154.2,375.6,6940.65,6497.25,519.5,81.6,399.15,80.1,373.5,84.6,7161.55,9945.2
154,0.0,88.45,214.5,84.0,70.6,162.9,368.2,6983.55,6493.35,535.5,80.8,414.0,80.5,391.2,85.6,7056.8,10026.2
155,0.1,88.0,215.0,83.55,69.25,158.5,374.0,7033.8,6536.25,543.0,81.5,406.05,81.5,376.2,83.9,7122.05,9961.05
156,0.05,87.15,214.0,84.55,71.25,154.3,370.0,7095.75,6499.5,531.0,81.4,437.4,84.7,384.45,85.4,7126.85,9976.95
157,0.1,85.8,225.0,82.4,71.65,182.2,371.4,6988.35,6565.8,543.5,80.9,412.2,84.5,384.3,85.1,7106.9,9993.7
158,0.2,86.0,224.0,83.15,70.7,170.1,372.6,7042.95,6579.9,534.0,71.4,405.0,79.0,383.55,76.7,7034.4,9944.5
159,0.0,87.5,221.5,84.55,70.4,154.7,372.0,6947.85,6502.35,534.5,81.2,422.25,81.0,378.3,83.9,7222.3,9961.25
160,0.05,88.5,214.5,85.1,70.9,159.2,372.2,6961.05,6490.35,543.0,81.6,396.45,79.6,378.3,84.9,7053.7,9977.6
161,0.15,88.95,220.0,85.15,70.45,196.1,361.2,7016.85,6544.5,533.0,81.5,415.65,81.3,368.25,86.1,7043.25,9960.95
162,0.05,87.6,229.0,84.45,70.35,157.0,364.0,7027.95,6496.65,535.5,81.5,394.35,80.7,371.25,84.5,7207.4,10005.6
163,0.15,87.5,218.5,84.3,70.75,150.0,372.8,6860.25,6521.1,535.5,79.2,404.85,79.3,373.35,85.4,6960.3,9977.45
164,0.1,86.8,215.0,83.75,70.5,164.6,375.6,6888.9,6514.65,534.5,79.8,400.2,79.7,378.75,83.8,7086.7,10038.55
165,0.05,87.5,222.5,84.6,70.35,152.9,381.4,6959.55,6525.15,534.5,83.3,444.15,80.4,377.85,85.4,7116.3,10010.0
166,0.05,87.0,225.0,84.75,69.8,152.0,363.8,6909.6,6498.45,533.5,80.2,417.15,81.7,381.9,84.6,7082.5,10045.45
167,0.1,87.9,227.5,84.0,70.3,161.2,375.2,6903.9,6487.2,534.0,83.1,405.0,80.6,383.7,85.5,7048.5,9977.4
168,0.05,86.9,220.5,84.65,71.8,169.0,370.0,6949.95,6501.0,535.5,79.2,398.1,82.4,376.35,84.8,7069.25,10021.9
169,0.0,87.4,219.0,83.95,71.75,159.3,375.0,6936.15,6503.7,531.0,80.8,399.75,81.8,383.25,85.4,7132.2,10042.3
170,0.1,88.05,216.0,85.15,70.8,179.6,367.0,7050.9,6510.75,524.0,77.7,408.9,81.0,378.75,80.3,7155.85,9960.9
171,0.05,88.9,213.5,84.9,70.1,163.7,370.2,7000.35,6496.05,527.0,80.5,389.25,78.4,368.1,83.7,7236.4,9961.2
172,0.05,87.0,219.0,85.0,71.0,157.9,363.6,6937.2,6525.6,533.5,80.5,381.3,81.8,378.9,85.1,7155.05,9961.35
173,0.1,88.35,219.0,84.9,69.7,162.5,369.0,7042.95,6751.35,536.0,76.1,398.4,76.4,378.9,80.2,7066.25,9945.0
174,0.1,87.25,217.5,84.05,69.8,153.8,377.4,6977.55,6483.6,528.5,76.0,419.55,78.0,378.0,79.1,7159.8,9977.0
175,0.15,87.2,221.0,85.05,70.3,163.8,370.6,7010.7,6508.35,536.5,80.1,421.2,83.4,382.05,84.2,7020.95,10005.6
176,0.05,87.2,214.5,84.5,70.3,163.7,367.0,6983.55,6496.35,553.0,79.3,397.05,81.1,380.7,86.3,7233.25,9989.4
177,0.15,88.8,216.0,84.4,70.65,151.2,372.2,7008.75,6640.05,534.0,80.3,395.7,79.1,373.35,83.1,7144.05,9993.45
178,0.1,87.5,218.5,83.55,71.0,151.7,370.4,6906.3,6501.9,533.5,76.3,391.65,77.0,383.55,79.6,7065.0,9977.75
179,0.05,86.7,223.0,84.2,70.45,154.1,372.6,6973.8,6488.7,531.5,81.3,411.45,82.1,378.9,85.3,7146.0,9961.4
180,0.15,88.4,217.0,85.3,69.85,174.6,373.4,6887.4,6491.25,534.5,79.7,391.95,82.1,375.75,82.9,7141.1,9994.05
181,0.05,88.5,219.5,84.8,69.8,155.0,366.6,7030.35,6508.2,534.0,79.5,402.75,82.8,360.45,84.4,7142.7,9973.05
182,0.05,86.4,225.0,83.65,70.65,152.7,371.6,6887.55,6633.0,528.0,82.4,431.7,81.8,383.55,84.4,6965.15,9977.55
183,0.15,88.35,215.0,86.0,70.6,151.7,369.4,6920.7,6515.85,535.0,78.2,408.75,81.9,388.2,80.0,7014.05,9977.75
184,0.15,85.9,224.0,84.2,69.4,159.8,376.0,6956.85,6515.25,534.5,82.5,399.75,80.8,386.85,84.6,7254.1,9977.6
185,0.2,86.45,217.0,85.0,70.8,180.5,373.4,7023.75,6514.65,546.0,76.0,405.9,78.9,383.7,81.6,7103.05,9928.35
186,0.1,88.7,220.0,85.95,69.7,174.9,371.2,6950.85,6529.65,531.5,84.1,389.85,83.8,387.9,84.8,7163.65,10021.75
187,0.15,87.55,218.0,84.25,70.55,166.4,374.6,6936.15,6507.75,534.5,80.1,405.75,82.3,388.8,84.0,7181.3,9956.9
188,0.1,87.8,217.5,85.65,70.3,163.3,369.0,6968.85,6510.15,532.5,79.3,403.05,80.5,383.85,83.9,7125.2,9960.75
189,0.3,87.4,221.5,84.35,70.35,148.7,372.0,7078.2,6502.65,534.0,80.7,390.3,84.7,378.75,85.9,7143.3,10010.25
190,0.05,88.1,217.0,84.65,70.2,165.9,371.6,6979.5,6522.0,534.0,79.3,411.75,81.5,383.55,86.2,7097.55,9977.25
191,0.05,87.3,221.0,84.75,70.05,164.4,381.4,7009.05,6490.05,531.0,79.6,406.35,82.1,375.0,84.6,7182.8,9977.3
192,0.15,87.25,218.5,84.85,70.65,153.6,368.0,7049.4,6498.0,527.0,80.8,378.6,82.1,369.45,85.6,7013.3,9928.5
193,0.1,87.95,225.0,85.05,70.55,166.9,364.0,7004.25,6622.2,531.0,80.1,416.4,80.0,372.3,85.2,7269.15,10005.65
194,0.05,88.0,218.5,85.15,70.85,156.5,368.0,7048.5,6503.7,526.0,80.5,409.35,81.5,382.2,83.6,7066.8,9944.95
